id,realDonaldTrump,HillaryClinton
0,0.319970,0.680030
1,0.009015,0.990985
2,0.000455,0.999545
3,0.002198,0.997802
4,0.977263,0.022737
5,0.174385,0.825615
6,0.244771,0.755229
7,0.017931,0.982069
8,0.014911,0.985089
9,0.993918,0.006082
10,0.999848,0.000152
11,0.040454,0.959546
12,0.221391,0.778609
13,0.160441,0.839559
14,0.094729,0.905271
15,0.999595,0.000405
16,0.993892,0.006108
17,0.961677,0.038323
18,0.396613,0.603387
19,0.998971,0.001029
20,0.128179,0.871821
21,0.039494,0.960506
22,0.029283,0.970717
23,0.806058,0.193942
24,0.280971,0.719029
25,0.019895,0.980105
26,0.999726,0.000274
27,0.007062,0.992938
28,0.049189,0.950811
29,0.005965,0.994035
30,0.745514,0.254486
31,0.130203,0.869797
32,0.094081,0.905919
33,0.569133,0.430867
34,0.924440,0.075560
35,0.812492,0.187508
36,0.170754,0.829246
37,0.106342,0.893658
38,0.703478,0.296522
39,0.036551,0.963449
40,0.028072,0.971928
41,0.098432,0.901568
42,0.066761,0.933239
43,0.980929,0.019071
44,0.491919,0.508081
45,0.522093,0.477907
46,0.506332,0.493668
47,0.586048,0.413952
48,0.254371,0.745629
49,0.003739,0.996261
50,0.428292,0.571708
51,0.247609,0.752391
52,0.576967,0.423033
53,0.900852,0.099148
54,0.612700,0.387300
55,0.039116,0.960884
56,0.000640,0.999360
57,0.092211,0.907789
58,0.993948,0.006052
59,0.107375,0.892625
60,0.000349,0.999651
61,0.833115,0.166885
62,0.155908,0.844092
63,0.058539,0.941461
64,0.025254,0.974746
65,0.065676,0.934324
66,0.462869,0.537131
67,0.038168,0.961832
68,0.015762,0.984238
69,0.982270,0.017730
70,0.919570,0.080430
71,0.160989,0.839011
72,0.021124,0.978876
73,0.094087,0.905913
74,0.008044,0.991956
75,0.177108,0.822892
76,0.045468,0.954532
77,0.658547,0.341453
78,0.497707,0.502293
79,0.003617,0.996383
80,0.081815,0.918185
81,0.065100,0.934900
82,0.024871,0.975129
83,0.000187,0.999813
84,0.007005,0.992995
85,0.015024,0.984976
86,0.984447,0.015553
87,0.402625,0.597375
88,0.033428,0.966572
89,0.021117,0.978883
90,0.111287,0.888713
91,0.052419,0.947581
92,0.007028,0.992972
93,0.999920,0.000080
94,0.999920,0.000080
95,0.330885,0.669115
96,0.766326,0.233674
97,0.796694,0.203306
98,0.056638,0.943362
99,0.560997,0.439003
100,0.044728,0.955272
101,0.843850,0.156150
102,0.458448,0.541552
103,0.036794,0.963206
104,0.133044,0.866956
105,0.087616,0.912384
106,0.229672,0.770328
107,0.968988,0.031012
108,0.978404,0.021596
109,0.129365,0.870635
110,0.430523,0.569477
111,0.174691,0.825309
112,0.885350,0.114650
113,0.226440,0.773560
114,0.002612,0.997388
115,0.025418,0.974582
116,0.295615,0.704385
117,0.931000,0.069000
118,0.675179,0.324821
119,0.030617,0.969383
120,0.721417,0.278583
121,0.099273,0.900727
122,0.000745,0.999255
123,0.183765,0.816235
124,0.547396,0.452604
