id,realDonaldTrump,HillaryClinton
0,0.006857,0.993143
1,0.013458,0.986542
2,0.021996,0.978004
3,0.035640,0.964360
4,0.000431,0.999569
5,0.076392,0.923608
6,0.218070,0.781930
7,0.001193,0.998807
8,0.070413,0.929587
9,0.929215,0.070785
10,0.009079,0.990921
11,0.999993,0.000007
12,0.999996,0.000004
13,0.006038,0.993962
14,0.983288,0.016712
15,0.998084,0.001916
16,0.005311,0.994689
17,0.999997,0.000003
18,0.082893,0.917107
19,0.997647,0.002353
20,0.999747,0.000253
21,0.000557,0.999443
22,0.705860,0.294140
23,0.566578,0.433422
24,0.003913,0.996087
25,0.337157,0.662843
26,0.872541,0.127459
27,0.739248,0.260752
28,0.150745,0.849255
29,0.998381,0.001619
30,0.999643,0.000357
31,0.990346,0.009654
32,0.001096,0.998904
33,0.997469,0.002531
34,0.959691,0.040309
35,0.009839,0.990162
36,0.124968,0.875032
37,0.999994,0.000006
38,0.728778,0.271222
39,0.999963,0.000037
40,0.157475,0.842525
41,0.007962,0.992038
42,0.012719,0.987281
43,0.002063,0.997937
44,0.139570,0.860430
45,0.085696,0.914304
46,0.073417,0.926583
47,0.001240,0.998760
48,0.001756,0.998244
49,0.002935,0.997065
50,0.997118,0.002882
51,0.944738,0.055263
52,0.005128,0.994872
53,0.996451,0.003549
54,0.008717,0.991283
55,0.999411,0.000589
56,0.999794,0.000206
57,0.005889,0.994111
58,0.136099,0.863901
59,0.001241,0.998759
60,0.007506,0.992494
61,0.014155,0.985845
62,0.000371,0.999629
63,0.000173,0.999827
64,0.769115,0.230885
65,0.013847,0.986153
66,0.110347,0.889653
67,0.016661,0.983338
68,0.010099,0.989901
69,0.072616,0.927384
70,1.000000,0.000000
71,0.881824,0.118176
72,0.147814,0.852186
73,0.323304,0.676696
74,0.011269,0.988731
75,0.433396,0.566604
76,0.931018,0.068982
77,0.005495,0.994505
78,0.000182,0.999819
79,0.001473,0.998527
80,0.999995,0.000005
81,0.647489,0.352511
82,0.519623,0.480377
83,0.979382,0.020618
84,0.981580,0.018420
85,0.003860,0.996140
86,0.998880,0.001120
87,0.008056,0.991944
88,0.997374,0.002626
89,0.007699,0.992301
90,0.004758,0.995242
91,0.999385,0.000615
92,0.021042,0.978958
93,0.999876,0.000124
94,0.994746,0.005254
95,0.029929,0.970071
96,0.002757,0.997243
97,0.000617,0.999383
98,0.026136,0.973864
99,0.165470,0.834530
100,0.983770,0.016230
101,0.804659,0.195341
102,0.004012,0.995988
103,0.018752,0.981248
104,0.793694,0.206306
105,0.997188,0.002812
106,0.002306,0.997694
107,0.003941,0.996059
108,0.019285,0.980715
109,0.000782,0.999218
110,0.039925,0.960075
111,1.000000,0.000000
112,0.007285,0.992715
113,0.549545,0.450455
114,0.999941,0.000059
115,0.000545,0.999455
116,0.010833,0.989167
117,0.271040,0.728960
118,0.001896,0.998104
119,0.999984,0.000016
120,0.006575,0.993425
121,0.000135,0.999865
122,0.000935,0.999065
123,0.008641,0.991359
124,0.999572,0.000428
125,1.000000,0.000000
126,0.007294,0.992706
127,0.923630,0.076369
128,0.001278,0.998722
129,0.154721,0.845279
130,0.963215,0.036785
131,0.936163,0.063837
132,0.892327,0.107673
133,0.006223,0.993777
134,0.027391,0.972609
135,0.999999,0.000001
136,0.999997,0.000002
137,0.017848,0.982152
138,0.001996,0.998004
139,0.023949,0.976051
140,0.001256,0.998744
141,0.000364,0.999636
142,0.312731,0.687269
143,0.023007,0.976993
144,0.002742,0.997258
145,0.000689,0.999311
146,1.000000,0.000000
147,0.000475,0.999525
148,0.655807,0.344193
149,0.000065,0.999935
150,0.031314,0.968686
151,0.996708,0.003292
152,0.004254,0.995746
153,0.889250,0.110750
154,0.001577,0.998423
155,0.403764,0.596236
156,0.371604,0.628396
157,0.077727,0.922273
158,0.005272,0.994728
159,0.200036,0.799964
160,0.001385,0.998615
161,0.410306,0.589694
162,0.286395,0.713605
163,0.001932,0.998068
164,0.998276,0.001724
165,0.004692,0.995308
166,0.137956,0.862044
167,0.999994,0.000006
168,0.999987,0.000013
169,0.847843,0.152157
170,0.989143,0.010857
171,0.084571,0.915430
172,0.000265,0.999735
173,0.017283,0.982717
174,0.999953,0.000047
175,0.000699,0.999301
176,0.514456,0.485544
177,0.003531,0.996469
178,0.972694,0.027306
179,0.982653,0.017347
180,0.016637,0.983363
181,1.000000,0.000000
182,0.985740,0.014260
183,0.797960,0.202040
184,0.021857,0.978143
185,0.997815,0.002185
186,0.911792,0.088208
187,0.965581,0.034419
188,0.395323,0.604677
189,0.015663,0.984337
190,0.009193,0.990807
191,0.095544,0.904456
192,0.998827,0.001173
193,0.504259,0.495741
194,0.059128,0.940872
195,0.000160,0.999840
196,0.016671,0.983329
197,0.012983,0.987017
198,0.002666,0.997334
199,0.011018,0.988982
200,0.993479,0.006521
201,0.975502,0.024498
202,0.999432,0.000568
203,1.000000,0.000000
204,0.994109,0.005891
205,0.004145,0.995855
206,0.073070,0.926929
207,0.023676,0.976324
208,0.000726,0.999274
209,0.000352,0.999648
210,0.005543,0.994457
211,0.001171,0.998829
212,0.018323,0.981677
213,0.005495,0.994505
214,0.004305,0.995695
215,0.999685,0.000315
216,0.527159,0.472841
217,0.008070,0.991930
218,0.157086,0.842914
219,0.011419,0.988581
220,0.936208,0.063792
221,0.001831,0.998169
222,0.006062,0.993938
223,0.052639,0.947361
224,0.999995,0.000005
225,1.000000,0.000000
226,0.999282,0.000718
227,0.002803,0.997197
228,1.000000,0.000000
229,0.003640,0.996360
230,0.999909,0.000091
231,0.906043,0.093957
232,0.001321,0.998679
233,0.003372,0.996628
234,0.459068,0.540932
235,0.002932,0.997068
236,0.668034,0.331966
237,0.021358,0.978642
238,0.004377,0.995623
239,0.390086,0.609914
240,0.999824,0.000176
241,0.000285,0.999715
242,0.012638,0.987362
243,0.001983,0.998017
244,0.177294,0.822706
245,0.000483,0.999517
246,0.437557,0.562443
247,0.754151,0.245849
248,0.998625,0.001375
249,0.000768,0.999232
250,0.544238,0.455762
251,0.693050,0.306950
252,0.998989,0.001011
253,0.004432,0.995568
254,0.003095,0.996905
255,0.006740,0.993260
256,1.000000,0.000000
257,0.000596,0.999404
258,0.925842,0.074158
259,0.001122,0.998878
260,0.002181,0.997819
261,0.903687,0.096313
262,0.055120,0.944880
263,1.000000,0.000000
264,0.998987,0.001013
265,0.004197,0.995803
266,0.678181,0.321819
267,0.163710,0.836290
268,0.999800,0.000200
269,0.999995,0.000005
270,0.001646,0.998354
271,0.082025,0.917975
272,1.000000,0.000000
273,0.122576,0.877424
274,1.000000,0.000000
275,0.001851,0.998149
276,0.149548,0.850452
277,0.999641,0.000359
278,0.002251,0.997749
279,0.033338,0.966662
280,0.760949,0.239051
281,0.881302,0.118698
282,1.000000,0.000000
283,0.048613,0.951387
284,0.984229,0.015771
285,0.999993,0.000007
286,0.932494,0.067506
287,0.999129,0.000871
288,0.021699,0.978301
289,0.571735,0.428266
290,0.001493,0.998507
291,0.008279,0.991721
292,0.999720,0.000280
293,0.791751,0.208249
294,0.999842,0.000158
295,0.102203,0.897797
296,1.000000,0.000000
297,0.001169,0.998831
298,0.011889,0.988111
299,0.004868,0.995132
300,0.676893,0.323107
301,0.000177,0.999823
302,0.003939,0.996061
303,0.999878,0.000122
304,1.000000,0.000000
305,0.027602,0.972398
306,0.998124,0.001876
307,0.000961,0.999039
308,0.000386,0.999614
309,0.015653,0.984347
310,0.919998,0.080002
311,0.127436,0.872564
312,0.938331,0.061669
313,0.999999,0.000001
314,0.008348,0.991652
315,0.018374,0.981627
316,0.019209,0.980791
317,0.210320,0.789680
318,0.999999,0.000001
319,0.605355,0.394645
320,0.695504,0.304496
321,0.937078,0.062922
322,0.597909,0.402091
323,0.840820,0.159180
324,0.002703,0.997297
325,0.001195,0.998805
326,1.000000,0.000000
327,0.999997,0.000003
328,0.122541,0.877459
329,0.994450,0.005550
330,0.989410,0.010590
331,0.008535,0.991465
332,0.014426,0.985574
333,0.002117,0.997883
334,0.006550,0.993450
335,0.015541,0.984459
336,0.002525,0.997475
337,0.912262,0.087738
338,0.824000,0.176000
339,0.999962,0.000038
340,0.422340,0.577660
341,0.001090,0.998910
342,0.955726,0.044274
343,0.012506,0.987494
344,0.007008,0.992992
345,0.994034,0.005966
346,0.003070,0.996930
347,0.491920,0.508080
348,0.001901,0.998099
349,0.045034,0.954966
350,0.010352,0.989648
351,0.999999,0.000001
352,0.991714,0.008286
353,0.003228,0.996772
354,0.051810,0.948190
355,0.134764,0.865236
356,0.266781,0.733220
357,0.009356,0.990644
358,0.777965,0.222035
359,0.913752,0.086248
360,0.006311,0.993689
361,0.975551,0.024449
362,0.002807,0.997193
363,0.685575,0.314425
364,0.001231,0.998769
365,0.033384,0.966616
366,0.001685,0.998315
367,0.999999,0.000001
368,0.999879,0.000121
369,0.001535,0.998466
370,1.000000,0.000000
371,0.992604,0.007395
372,0.068233,0.931767
373,0.016431,0.983568
374,0.999950,0.000050
375,0.083262,0.916738
376,0.008414,0.991586
377,0.952686,0.047314
378,0.074696,0.925304
379,0.071773,0.928227
380,0.006026,0.993974
381,1.000000,0.000000
382,0.931105,0.068895
383,0.993197,0.006803
384,0.999977,0.000023
385,0.423301,0.576698
386,0.956260,0.043740
387,0.071255,0.928744
388,0.467684,0.532316
389,0.823445,0.176555
390,0.137790,0.862210
391,0.999985,0.000015
392,0.999974,0.000026
393,0.000857,0.999143
394,0.844423,0.155577
395,0.999554,0.000446
396,0.007647,0.992353
397,0.266178,0.733822
398,0.999999,0.000001
399,0.391792,0.608208
400,0.005193,0.994807
401,0.019610,0.980390
402,0.999875,0.000125
403,0.999997,0.000003
404,0.007928,0.992072
405,1.000000,0.000000
406,0.890790,0.109210
407,0.896505,0.103495
408,0.999999,0.000001
409,0.997837,0.002163
410,0.004109,0.995891
411,1.000000,0.000000
412,0.615061,0.384939
413,0.002952,0.997049
414,0.002324,0.997676
415,0.864894,0.135106
416,0.993666,0.006334
417,0.852051,0.147949
418,0.088406,0.911594
419,0.000227,0.999773
420,0.003569,0.996431
421,0.032017,0.967983
422,0.996269,0.003731
423,0.020517,0.979483
424,0.031932,0.968068
425,0.833183,0.166817
426,0.000221,0.999779
427,0.651108,0.348892
428,0.018677,0.981323
429,0.148890,0.851110
430,0.528477,0.471523
431,0.016046,0.983954
432,0.004798,0.995202
433,0.999904,0.000096
434,0.009875,0.990125
435,0.009373,0.990627
436,0.918353,0.081647
437,0.004756,0.995244
438,0.005756,0.994244
439,0.136363,0.863637
440,0.036637,0.963363
441,0.046120,0.953880
442,0.999992,0.000008
443,0.998265,0.001735
444,0.004506,0.995494
445,0.000869,0.999131
446,0.989846,0.010154
447,0.999517,0.000483
448,0.000292,0.999708
449,0.003978,0.996022
450,0.574583,0.425417
451,0.002490,0.997510
452,0.191475,0.808525
453,0.009431,0.990569
454,0.999138,0.000862
455,0.999297,0.000703
456,0.002339,0.997661
457,0.007333,0.992667
458,0.087316,0.912684
459,0.270096,0.729904
460,0.002753,0.997247
461,0.000153,0.999847
462,0.653860,0.346140
463,0.999476,0.000524
464,0.009891,0.990109
465,0.004806,0.995194
466,0.646404,0.353596
467,0.691404,0.308596
468,0.865799,0.134201
469,0.916182,0.083818
470,0.023555,0.976445
471,0.453675,0.546325
472,0.310895,0.689105
473,0.000280,0.999720
474,0.129717,0.870283
475,0.999946,0.000054
476,0.119648,0.880352
477,0.999980,0.000020
478,0.999971,0.000029
479,0.011367,0.988633
480,0.000906,0.999094
481,0.070234,0.929766
482,0.557724,0.442276
483,0.555771,0.444229
484,0.736244,0.263756
485,1.000000,0.000000
486,0.000189,0.999811
487,0.036014,0.963986
488,0.002618,0.997382
489,0.000642,0.999358
490,0.066258,0.933742
491,0.385728,0.614272
492,0.053076,0.946924
493,1.000000,0.000000
494,0.005732,0.994268
495,0.003056,0.996944
496,0.974122,0.025878
497,0.333172,0.666828
498,0.999891,0.000109
499,0.001306,0.998694
500,0.999593,0.000407
501,0.001464,0.998536
502,0.212926,0.787074
503,0.018219,0.981781
504,0.001429,0.998571
505,0.999998,0.000002
506,0.909703,0.090297
507,0.004409,0.995591
508,0.999999,0.000001
509,0.000073,0.999927
510,0.973453,0.026547
511,0.007180,0.992820
512,0.998933,0.001067
513,0.986086,0.013914
514,0.999884,0.000116
515,0.001158,0.998842
516,0.021386,0.978613
517,0.662021,0.337979
518,0.001324,0.998676
519,0.016204,0.983796
520,0.002749,0.997251
521,0.001213,0.998787
522,0.223579,0.776421
523,0.000266,0.999734
524,0.031853,0.968147
525,0.010316,0.989684
526,0.000793,0.999207
527,0.139059,0.860941
528,0.009015,0.990985
529,0.736681,0.263319
530,0.872799,0.127201
531,0.013111,0.986889
532,0.104941,0.895059
533,0.007710,0.992290
534,0.001137,0.998863
535,0.184660,0.815340
536,0.101876,0.898124
537,0.024231,0.975769
538,0.001542,0.998458
539,0.335630,0.664370
540,0.035482,0.964518
541,0.934199,0.065801
542,0.820976,0.179024
543,0.003963,0.996037
544,0.995617,0.004383
545,1.000000,0.000000
546,0.000969,0.999031
547,0.000972,0.999028
548,0.001140,0.998860
549,0.002911,0.997089
550,0.030058,0.969942
551,0.000722,0.999278
552,0.021826,0.978174
553,0.110203,0.889797
554,0.000139,0.999861
555,0.025671,0.974329
556,0.000872,0.999128
557,0.996906,0.003094
558,0.667512,0.332488
559,0.956590,0.043410
560,1.000000,0.000000
561,0.000445,0.999555
562,0.000081,0.999919
563,0.003281,0.996719
564,0.070720,0.929280
565,0.367900,0.632100
566,0.063251,0.936749
567,0.062252,0.937748
568,0.001195,0.998805
569,0.012037,0.987963
570,0.002858,0.997142
571,0.001856,0.998144
572,0.999992,0.000008
573,1.000000,0.000000
574,0.014975,0.985025
575,0.999961,0.000038
576,0.010521,0.989479
577,0.003237,0.996763
578,0.000091,0.999909
579,0.010984,0.989016
580,0.000780,0.999220
581,0.112548,0.887452
582,0.345608,0.654392
583,0.006115,0.993885
584,0.058480,0.941520
585,1.000000,0.000000
586,0.999965,0.000035
587,0.999750,0.000250
588,0.037100,0.962900
589,0.005174,0.994826
590,0.055189,0.944811
591,0.171650,0.828350
592,0.157104,0.842896
593,0.999985,0.000015
594,0.000468,0.999532
595,0.990906,0.009094
596,0.070803,0.929197
597,0.005246,0.994754
598,0.999957,0.000043
599,0.617312,0.382688
600,1.000000,0.000000
601,0.003527,0.996473
602,0.992505,0.007495
603,0.005868,0.994132
604,0.003750,0.996250
605,0.000318,0.999682
606,0.000317,0.999683
607,0.991461,0.008539
608,0.000181,0.999819
609,0.003016,0.996984
610,0.000262,0.999738
611,0.071466,0.928534
612,0.864575,0.135425
613,0.000401,0.999600
614,0.725496,0.274504
615,1.000000,0.000000
616,0.023085,0.976915
617,0.049146,0.950854
618,0.370165,0.629835
619,0.001406,0.998594
620,0.000231,0.999770
621,0.006228,0.993772
622,0.007882,0.992118
623,0.011525,0.988475
624,0.999491,0.000509
625,0.024168,0.975832
626,0.771650,0.228350
627,0.378741,0.621259
628,0.986445,0.013556
629,0.040039,0.959961
630,0.258060,0.741940
631,0.999809,0.000191
632,1.000000,0.000000
633,0.243160,0.756840
634,0.999106,0.000894
635,0.042881,0.957119
636,1.000000,0.000000
637,0.000429,0.999571
638,0.269835,0.730165
639,0.077366,0.922634
640,0.700087,0.299913
641,0.012349,0.987651
642,0.011379,0.988621
643,0.004438,0.995562
644,0.016276,0.983724
645,0.999985,0.000015
646,1.000000,0.000000
647,0.999997,0.000003
648,1.000000,0.000000
649,0.998327,0.001673
650,0.168232,0.831767
651,0.025915,0.974086
652,0.069684,0.930316
653,0.003392,0.996608
654,0.005192,0.994808
655,0.005660,0.994340
656,0.999945,0.000055
657,0.962027,0.037973
658,1.000000,0.000000
659,0.034593,0.965407
660,0.043455,0.956545
661,0.003592,0.996408
662,0.514547,0.485453
663,0.999590,0.000410
664,0.860466,0.139535
665,0.001110,0.998890
666,0.435068,0.564932
667,0.650604,0.349396
668,0.000255,0.999745
669,0.003389,0.996610
670,0.005308,0.994692
671,0.293534,0.706466
672,0.046348,0.953652
673,0.534318,0.465682
674,0.083864,0.916136
675,0.924071,0.075929
676,0.999985,0.000015
677,0.672508,0.327492
678,0.006109,0.993891
679,0.926129,0.073871
680,1.000000,0.000000
681,0.058875,0.941124
682,0.036681,0.963319
683,0.023370,0.976630
684,0.220926,0.779074
685,0.000297,0.999703
686,0.034570,0.965430
687,0.012525,0.987475
688,0.140142,0.859858
689,0.012610,0.987390
690,0.000863,0.999137
691,0.009695,0.990305
692,0.066337,0.933663
693,0.994641,0.005359
694,0.989856,0.010144
695,0.019921,0.980079
696,0.103117,0.896883
697,0.271408,0.728592
698,0.184279,0.815721
699,0.000467,0.999533
700,0.999930,0.000070
701,0.032139,0.967861
702,0.999464,0.000536
703,0.026517,0.973483
704,0.000568,0.999432
705,0.002082,0.997918
706,0.999998,0.000002
707,0.365599,0.634401
708,0.979245,0.020755
709,0.975850,0.024150
710,0.001306,0.998694
711,0.003045,0.996955
712,0.001374,0.998626
713,0.322126,0.677874
714,0.008936,0.991064
715,0.027848,0.972152
716,0.096685,0.903315
717,0.999319,0.000681
718,0.029075,0.970925
719,0.977422,0.022578
720,0.489022,0.510978
721,0.287695,0.712305
722,0.996001,0.003999
723,0.999597,0.000404
724,0.405175,0.594825
725,0.999998,0.000002
726,0.922355,0.077645
727,1.000000,0.000000
728,0.999711,0.000289
729,0.002352,0.997648
730,0.003507,0.996493
731,0.034875,0.965125
732,0.999989,0.000011
733,0.999998,0.000002
734,0.001755,0.998245
735,0.002269,0.997732
736,1.000000,0.000000
737,0.999814,0.000186
738,0.998839,0.001161
739,0.990693,0.009307
740,0.010616,0.989384
741,0.004668,0.995332
742,1.000000,0.000000
743,0.009387,0.990613
744,0.022286,0.977714
745,0.008982,0.991018
746,0.999977,0.000023
747,0.846172,0.153828
748,0.005543,0.994457
749,0.832581,0.167419
750,0.006674,0.993326
751,0.999361,0.000640
752,1.000000,0.000000
753,0.996687,0.003313
754,0.412435,0.587565
755,0.999745,0.000255
756,0.999899,0.000101
757,0.077554,0.922446
758,0.999999,0.000001
759,0.003766,0.996234
760,0.999702,0.000298
761,0.123549,0.876451
762,0.003154,0.996846
763,0.001189,0.998811
764,0.999351,0.000649
765,0.000194,0.999806
766,0.999972,0.000028
767,0.026223,0.973777
768,0.001044,0.998956
769,0.627289,0.372711
770,0.009174,0.990826
771,1.000000,0.000000
772,0.009747,0.990253
773,0.001781,0.998219
774,0.950683,0.049317
775,0.407135,0.592865
776,0.010868,0.989132
777,0.004978,0.995022
778,0.879158,0.120842
779,0.044989,0.955011
780,0.005188,0.994812
781,0.998064,0.001936
