id,realDonaldTrump,HillaryClinton
0,0.184475,0.815525
1,0.871780,0.128220
2,0.033646,0.966354
3,0.002682,0.997318
4,0.003597,0.996403
5,0.063652,0.936348
6,0.283169,0.716831
7,0.480375,0.519625
8,0.000901,0.999099
9,0.169973,0.830027
10,0.244957,0.755043
11,0.086143,0.913857
12,0.015128,0.984872
13,0.251593,0.748407
14,0.005371,0.994629
15,0.982119,0.017881
16,0.002881,0.997119
17,0.999621,0.000379
18,0.002141,0.997859
19,0.999936,0.000064
20,0.998609,0.001391
21,0.002618,0.997382
22,0.978269,0.021731
23,0.821784,0.178216
24,0.360959,0.639041
25,0.023645,0.976355
26,0.998409,0.001591
27,0.003608,0.996392
28,0.918622,0.081378
29,0.106059,0.893941
30,0.636890,0.363110
31,0.999963,0.000037
32,0.057549,0.942451
33,0.999181,0.000819
34,0.106662,0.893338
35,0.000775,0.999225
36,0.049906,0.950094
37,0.725708,0.274292
38,0.308992,0.691008
39,0.029785,0.970215
40,0.104804,0.895196
41,0.012750,0.987250
42,0.190818,0.809182
43,0.005663,0.994337
44,0.009686,0.990314
45,0.184811,0.815189
46,0.053149,0.946851
47,0.999981,0.000019
48,0.237296,0.762704
49,0.021622,0.978378
50,0.991376,0.008624
51,0.021340,0.978660
52,0.004173,0.995827
53,0.010738,0.989262
54,0.004634,0.995366
55,0.999394,0.000606
56,0.004021,0.995979
57,0.005631,0.994369
58,0.010612,0.989388
59,0.290083,0.709917
60,0.901853,0.098147
61,0.999876,0.000124
62,0.000538,0.999462
63,0.001210,0.998790
64,0.724929,0.275071
65,0.999925,0.000075
66,0.004192,0.995808
67,0.008960,0.991040
68,0.240103,0.759897
69,0.984217,0.015783
70,0.993759,0.006241
71,0.320371,0.679629
72,0.051570,0.948430
73,0.103356,0.896644
74,0.005428,0.994572
75,0.014768,0.985232
76,0.982689,0.017311
77,0.017703,0.982297
78,0.010294,0.989706
79,0.034622,0.965378
80,0.012375,0.987625
81,0.729148,0.270852
82,0.118399,0.881601
83,0.998469,0.001531
84,0.001869,0.998131
85,0.040434,0.959566
86,0.000354,0.999646
87,0.007108,0.992893
88,0.983188,0.016812
89,0.007436,0.992564
90,0.000563,0.999437
91,0.029573,0.970427
92,0.020359,0.979641
93,0.999984,0.000016
94,0.999948,0.000052
95,0.006444,0.993556
96,0.004289,0.995711
97,0.101286,0.898714
98,0.758524,0.241476
99,0.021557,0.978443
100,0.027503,0.972497
101,0.007349,0.992651
102,0.001539,0.998461
103,0.005684,0.994316
104,0.997446,0.002554
105,0.998821,0.001179
106,0.042136,0.957864
107,0.999982,0.000018
108,0.006806,0.993194
109,0.027738,0.972262
110,0.000159,0.999841
111,0.113221,0.886779
112,0.251291,0.748709
113,0.593376,0.406624
114,0.998782,0.001218
115,0.006724,0.993276
116,0.000405,0.999595
117,0.999767,0.000233
118,0.000289,0.999711
119,0.104256,0.895744
120,0.007130,0.992870
121,0.382900,0.617100
122,0.004381,0.995619
123,0.372684,0.627316
124,0.677635,0.322365
125,0.999858,0.000142
126,0.953354,0.046647
127,0.081311,0.918689
128,0.575735,0.424265
129,0.036535,0.963465
130,0.003797,0.996203
131,0.984930,0.015070
132,0.141130,0.858870
133,0.021893,0.978107
134,0.012049,0.987951
135,0.737491,0.262509
136,0.999783,0.000217
137,0.963614,0.036386
138,0.896935,0.103065
139,0.999960,0.000040
140,0.123325,0.876675
141,0.999970,0.000030
142,0.954212,0.045787
143,0.012118,0.987882
144,0.000329,0.999671
145,0.030365,0.969635
146,0.999337,0.000663
147,0.000144,0.999856
148,0.899072,0.100928
149,0.999967,0.000033
150,0.012937,0.987063
151,0.099780,0.900220
152,0.997852,0.002148
153,0.999215,0.000785
154,0.999971,0.000029
155,0.041641,0.958359
156,0.012149,0.987851
157,0.999875,0.000125
158,0.994011,0.005989
159,0.971993,0.028007
160,0.207958,0.792042
161,0.002423,0.997577
162,0.194891,0.805109
163,0.005954,0.994046
164,0.760052,0.239948
165,0.000384,0.999616
166,0.006830,0.993170
167,0.983232,0.016768
168,0.989794,0.010206
169,0.999817,0.000183
170,0.996966,0.003034
171,0.020806,0.979194
172,0.009858,0.990142
173,0.014109,0.985891
174,0.999295,0.000705
175,0.999980,0.000020
176,0.812174,0.187826
177,0.001640,0.998360
178,0.999552,0.000448
179,0.999934,0.000066
180,0.999979,0.000021
181,0.999979,0.000021
182,0.999985,0.000015
183,0.015297,0.984703
184,0.000338,0.999662
185,0.892384,0.107616
186,0.101928,0.898072
187,0.358736,0.641264
188,0.058617,0.941383
189,0.004966,0.995034
190,0.495429,0.504571
191,0.487763,0.512237
192,0.999974,0.000026
193,0.999985,0.000015
194,0.006197,0.993803
195,0.001198,0.998802
196,0.828836,0.171164
197,0.054609,0.945391
198,0.001973,0.998027
199,0.376908,0.623092
200,0.883480,0.116520
201,0.707285,0.292715
202,0.994862,0.005138
203,0.999087,0.000913
204,0.783438,0.216562
205,0.018954,0.981046
206,0.107041,0.892959
207,0.004064,0.995936
208,0.041219,0.958780
209,0.001187,0.998813
210,0.006800,0.993200
211,0.058434,0.941566
212,0.001653,0.998347
213,0.009330,0.990670
214,0.999985,0.000015
215,0.999986,0.000014
216,0.069907,0.930093
217,0.002733,0.997267
218,0.018345,0.981655
219,0.025520,0.974480
220,0.013012,0.986988
221,0.004189,0.995811
222,0.001714,0.998286
223,0.128825,0.871175
224,0.591176,0.408824
225,0.754370,0.245630
226,0.999894,0.000106
227,0.009578,0.990422
228,0.533058,0.466942
229,0.209094,0.790906
230,0.359256,0.640744
231,0.633377,0.366623
232,0.086713,0.913288
233,0.002135,0.997865
234,0.933441,0.066559
235,0.999908,0.000092
236,0.753283,0.246717
237,0.002542,0.997458
238,0.001182,0.998818
239,0.003856,0.996144
240,0.997290,0.002710
241,0.002523,0.997477
242,0.202860,0.797140
243,0.012864,0.987136
244,0.000789,0.999211
245,0.806357,0.193643
246,0.000886,0.999114
247,0.995439,0.004561
248,0.995354,0.004646
249,0.001821,0.998179
250,0.162611,0.837389
251,0.025661,0.974339
252,0.998823,0.001177
253,0.002905,0.997095
254,0.022421,0.977579
255,0.015205,0.984795
256,0.994108,0.005892
257,0.174495,0.825505
258,0.372730,0.627270
259,0.034900,0.965100
260,0.954962,0.045038
261,0.003227,0.996773
262,0.007746,0.992254
263,0.999957,0.000043
264,0.944900,0.055100
265,0.003358,0.996642
266,0.007345,0.992655
267,0.318391,0.681609
268,0.000478,0.999522
269,0.070880,0.929120
270,0.999986,0.000014
271,0.010438,0.989562
272,0.999974,0.000026
273,0.002083,0.997917
274,0.999953,0.000047
275,0.235880,0.764120
276,0.004301,0.995699
277,0.999991,0.000009
278,0.999964,0.000036
279,0.012579,0.987421
280,0.002232,0.997768
281,0.001018,0.998982
282,0.999930,0.000070
283,0.002058,0.997942
284,0.001383,0.998617
285,0.017346,0.982654
286,0.974239,0.025761
287,0.064480,0.935520
288,0.014620,0.985380
289,0.029867,0.970133
290,0.001996,0.998004
