id,realDonaldTrump,HillaryClinton
0,0.362192,0.637808
1,0.197860,0.802140
2,0.025334,0.974666
3,0.095331,0.904669
4,0.804121,0.195879
5,0.205190,0.794810
6,0.164132,0.835868
7,0.108449,0.891551
8,0.231943,0.768057
9,0.766625,0.233375
10,0.971041,0.028959
11,0.226322,0.773678
12,0.216713,0.783287
13,0.319266,0.680734
14,0.240648,0.759352
15,0.966418,0.033582
16,0.829320,0.170680
17,0.753653,0.246347
18,0.204484,0.795516
19,0.980015,0.019985
20,0.323196,0.676804
21,0.190632,0.809368
22,0.115080,0.884920
23,0.633795,0.366205
24,0.561478,0.438522
25,0.132276,0.867724
26,0.907477,0.092523
27,0.075710,0.924290
28,0.249798,0.750202
29,0.223545,0.776455
30,0.410251,0.589749
31,0.211251,0.788749
32,0.282482,0.717518
33,0.361919,0.638081
34,0.434900,0.565100
35,0.597794,0.402206
36,0.183184,0.816816
37,0.238722,0.761278
38,0.480118,0.519882
39,0.176808,0.823192
40,0.118904,0.881096
41,0.165441,0.834559
42,0.132355,0.867645
43,0.794807,0.205193
44,0.482189,0.517811
45,0.494541,0.505459
46,0.237302,0.762698
47,0.496471,0.503529
48,0.612030,0.387970
49,0.042711,0.957289
50,0.540769,0.459231
51,0.368165,0.631835
52,0.448956,0.551044
53,0.590706,0.409294
54,0.428980,0.571020
55,0.185181,0.814819
56,0.056852,0.943148
57,0.279556,0.720444
58,0.739085,0.260915
59,0.411728,0.588272
60,0.015848,0.984152
61,0.627338,0.372662
62,0.248718,0.751282
63,0.090462,0.909538
64,0.169081,0.830919
65,0.098428,0.901572
66,0.472830,0.527170
67,0.237641,0.762359
68,0.045395,0.954605
69,0.835819,0.164181
70,0.702347,0.297653
71,0.191989,0.808011
72,0.182514,0.817486
73,0.153427,0.846573
74,0.079612,0.920388
75,0.345471,0.654529
76,0.120106,0.879894
77,0.473550,0.526450
78,0.486505,0.513495
79,0.177092,0.822908
80,0.189040,0.810960
81,0.137670,0.862330
82,0.078298,0.921702
83,0.016516,0.983484
84,0.035191,0.964809
85,0.087694,0.912306
86,0.875742,0.124258
87,0.370601,0.629399
88,0.111584,0.888416
89,0.092676,0.907324
90,0.192652,0.807348
91,0.284433,0.715567
92,0.112784,0.887216
93,0.981530,0.018470
94,0.981530,0.018470
95,0.321603,0.678397
96,0.563280,0.436720
97,0.623054,0.376946
98,0.175869,0.824131
99,0.160479,0.839521
100,0.088796,0.911204
101,0.422018,0.577982
102,0.621254,0.378746
103,0.082093,0.917907
104,0.229986,0.770014
105,0.223168,0.776832
106,0.223136,0.776864
107,0.810370,0.189630
108,0.569305,0.430695
109,0.238180,0.761820
110,0.274760,0.725240
111,0.223820,0.776180
112,0.584498,0.415502
113,0.394618,0.605382
114,0.093291,0.906709
115,0.270434,0.729566
116,0.476218,0.523782
117,0.638134,0.361866
118,0.438241,0.561759
119,0.190741,0.809259
120,0.785271,0.214729
121,0.344329,0.655671
122,0.063904,0.936096
123,0.241342,0.758658
124,0.421999,0.578001
125,0.126540,0.873460
126,0.648382,0.351618
127,0.960216,0.039784
128,0.853629,0.146371
129,0.168952,0.831048
130,0.072494,0.927506
131,0.485075,0.514925
132,0.156814,0.843186
133,0.197787,0.802213
134,0.246175,0.753825
135,0.122053,0.877947
136,0.931903,0.068097
137,0.614117,0.385883
138,0.278904,0.721096
139,0.651635,0.348365
140,0.880958,0.119042
141,0.209332,0.790668
142,0.148045,0.851955
143,0.071409,0.928591
144,0.215026,0.784974
145,0.721208,0.278792
146,0.414312,0.585688
147,0.692627,0.307373
148,0.602190,0.397810
149,0.350192,0.649808
150,0.706557,0.293443
151,0.470815,0.529185
152,0.752879,0.247121
153,0.978581,0.021419
154,0.629719,0.370281
155,0.940973,0.059027
156,0.554902,0.445098
157,0.158930,0.841070
158,0.187915,0.812085
159,0.906347,0.093653
160,0.076045,0.923955
161,0.493573,0.506427
162,0.122079,0.877921
163,0.205475,0.794525
164,0.094783,0.905217
165,0.124694,0.875306
166,0.323262,0.676738
167,0.709207,0.290793
168,0.226925,0.773075
169,0.395724,0.604276
170,0.771466,0.228534
171,0.061726,0.938274
172,0.894513,0.105487
173,0.242149,0.757851
174,0.967938,0.032062
175,0.367872,0.632128
176,0.385546,0.614454
177,0.332367,0.667633
178,0.432043,0.567957
179,0.549090,0.450910
180,0.022665,0.977335
181,0.015535,0.984465
182,0.050309,0.949691
183,0.187047,0.812953
184,0.498804,0.501196
185,0.375238,0.624762
186,0.863260,0.136740
187,0.395255,0.604745
188,0.241313,0.758687
189,0.124791,0.875209
190,0.399161,0.600839
191,0.427064,0.572936
192,0.043725,0.956275
193,0.675797,0.324203
194,0.720760,0.279240
195,0.435167,0.564833
196,0.014734,0.985266
197,0.183654,0.816346
198,0.509821,0.490179
199,0.249404,0.750596
200,0.831476,0.168524
201,0.643253,0.356747
202,0.818306,0.181694
203,0.584824,0.415176
204,0.197796,0.802204
205,0.378743,0.621257
206,0.632065,0.367935
207,0.053338,0.946662
208,0.099812,0.900188
209,0.048333,0.951667
210,0.071061,0.928939
211,0.341206,0.658794
212,0.431200,0.568800
213,0.457840,0.542160
214,0.197490,0.802510
215,0.409110,0.590890
216,0.291500,0.708500
217,0.494150,0.505850
218,0.023674,0.976326
219,0.192145,0.807855
220,0.162937,0.837063
221,0.304074,0.695926
222,0.084867,0.915133
223,0.480490,0.519510
224,0.689328,0.310672
225,0.666089,0.333911
226,0.396533,0.603467
227,0.299256,0.700744
228,0.396903,0.603097
229,0.075543,0.924457
230,0.290826,0.709174
231,0.867790,0.132210
232,0.353638,0.646362
233,0.583453,0.416547
234,0.189661,0.810339
235,0.333537,0.666463
236,0.741751,0.258249
237,0.528289,0.471711
238,0.070741,0.929259
239,0.534504,0.465496
240,0.907075,0.092925
241,0.517531,0.482469
242,0.480029,0.519971
243,0.157676,0.842324
244,0.557862,0.442138
245,0.023707,0.976293
246,0.166880,0.833120
247,0.972914,0.027086
248,0.221130,0.778870
249,0.010502,0.989498
250,0.228576,0.771424
251,0.099170,0.900830
252,0.185903,0.814097
253,0.049118,0.950882
254,0.252340,0.747660
255,0.016013,0.983987
256,0.673317,0.326683
257,0.149104,0.850896
258,0.255802,0.744198
259,0.146208,0.853792
260,0.208514,0.791486
261,0.396483,0.603517
262,0.616335,0.383665
263,0.048487,0.951513
264,0.343312,0.656688
265,0.493584,0.506416
266,0.131139,0.868861
267,0.523818,0.476182
268,0.315992,0.684008
269,0.617510,0.382490
270,0.601172,0.398828
271,0.379148,0.620852
272,0.683053,0.316947
273,0.314937,0.685063
274,0.156086,0.843914
275,0.368000,0.632000
276,0.823047,0.176953
277,0.450037,0.549963
278,0.909715,0.090285
279,0.249845,0.750155
280,0.666262,0.333738
281,0.327367,0.672633
282,0.051970,0.948030
283,0.412018,0.587982
284,0.249236,0.750764
285,0.567930,0.432070
286,0.452480,0.547520
287,0.565853,0.434147
288,0.218687,0.781313
289,0.420119,0.579881
290,0.603397,0.396603
291,0.297432,0.702568
292,0.211093,0.788907
293,0.247854,0.752146
294,0.244461,0.755539
295,0.188912,0.811088
296,0.604106,0.395894
297,0.762693,0.237307
298,0.134240,0.865760
299,0.200801,0.799199
300,0.179389,0.820611
301,0.559857,0.440143
302,0.294148,0.705852
303,0.633187,0.366813
304,0.374696,0.625304
305,0.563932,0.436068
306,0.314636,0.685364
307,0.097840,0.902160
308,0.757596,0.242404
309,0.580734,0.419266
310,0.413251,0.586749
311,0.560408,0.439592
312,0.675925,0.324075
313,0.247166,0.752834
314,0.497962,0.502038
315,0.437123,0.562877
316,0.157940,0.842060
317,0.470801,0.529199
318,0.520173,0.479827
319,0.238060,0.761940
320,0.248113,0.751887
321,0.370428,0.629572
322,0.504285,0.495715
323,0.291797,0.708203
324,0.101475,0.898525
325,0.670150,0.329850
326,0.922015,0.077985
327,0.688234,0.311766
328,0.045910,0.954090
329,0.301268,0.698732
330,0.996943,0.003057
331,0.209299,0.790701
332,0.347073,0.652927
333,0.066711,0.933289
334,0.222238,0.777762
335,0.405453,0.594547
336,0.405894,0.594106
337,0.616319,0.383681
338,0.189661,0.810339
339,0.822204,0.177796
340,0.742040,0.257960
341,0.092462,0.907538
342,0.693944,0.306056
343,0.722726,0.277274
344,0.057630,0.942370
345,0.073331,0.926669
346,0.765385,0.234615
347,0.083096,0.916904
348,0.408638,0.591362
349,0.654561,0.345439
350,0.457933,0.542067
351,0.258919,0.741081
352,0.671709,0.328291
353,0.452899,0.547101
354,0.788006,0.211994
355,0.806432,0.193568
356,0.312242,0.687758
357,0.273115,0.726885
358,0.312788,0.687212
359,0.513590,0.486410
360,0.321110,0.678890
361,0.381391,0.618609
362,0.426861,0.573139
363,0.206989,0.793011
364,0.392788,0.607212
365,0.229823,0.770177
366,0.177418,0.822582
