id,realDonaldTrump,HillaryClinton
0,0.117783,0.882217
1,0.003459,0.996541
2,0.057525,0.942475
3,0.037050,0.962950
4,0.996579,0.003421
5,0.468373,0.531627
6,0.013151,0.986849
7,0.000000,1.000000
8,0.047665,0.952335
9,0.999845,0.000155
10,1.000000,0.000000
11,0.656832,0.343168
12,0.035480,0.964520
13,0.258727,0.741273
14,0.057879,0.942121
15,0.999998,0.000002
16,0.995458,0.004542
17,0.914776,0.085224
18,0.064865,0.935135
19,1.000000,0.000000
20,0.997514,0.002486
21,0.200437,0.799563
22,0.011089,0.988911
23,0.994161,0.005839
24,0.937295,0.062705
25,0.129234,0.870766
26,0.999996,0.000004
27,0.010639,0.989361
28,0.150706,0.849294
29,0.010032,0.989968
30,0.663515,0.336485
31,0.095164,0.904836
32,0.786019,0.213981
33,0.551191,0.448809
34,0.989217,0.010783
35,0.998929,0.001071
36,0.042518,0.957482
37,0.035832,0.964168
38,0.999311,0.000689
39,0.633718,0.366282
40,0.023062,0.976938
41,0.088041,0.911959
42,0.012918,0.987082
43,0.999469,0.000531
44,0.875313,0.124687
45,0.938811,0.061189
46,0.500000,0.500000
47,0.686576,0.313424
48,0.978525,0.021475
49,0.042947,0.957053
50,0.977802,0.022198
51,0.741617,0.258383
52,0.995680,0.004320
53,0.996040,0.003960
54,0.554048,0.445952
55,0.127211,0.872789
56,0.017322,0.982678
57,0.758715,0.241285
58,0.998877,0.001123
59,0.574594,0.425406
60,0.000000,1.000000
61,0.981834,0.018166
62,0.282466,0.717534
63,0.000002,0.999998
64,0.002808,0.997192
65,0.000002,0.999998
66,0.872181,0.127819
67,0.329897,0.670103
68,0.012068,0.987932
69,0.999981,0.000019
70,0.987576,0.012424
71,0.814370,0.185630
72,0.232370,0.767630
73,0.006324,0.993676
74,0.005921,0.994079
75,0.011385,0.988615
76,0.114024,0.885976
77,0.987724,0.012276
78,0.827321,0.172679
79,0.023722,0.976278
80,0.161130,0.838870
81,0.796474,0.203526
82,0.076586,0.923414
83,0.044396,0.955604
84,0.000000,1.000000
85,0.002801,0.997199
86,0.999885,0.000115
