id,realDonaldTrump,HillaryClinton
0,0.147489,0.852511
1,0.000005,0.999995
2,0.000000,1.000000
3,0.000001,0.999999
4,0.990362,0.009638
5,0.009074,0.990926
6,0.000014,0.999986
7,0.000000,1.000000
8,0.010098,0.989902
9,0.999114,0.000886
10,1.000000,0.000000
11,0.048373,0.951627
12,0.040063,0.959937
13,0.225544,0.774456
14,0.044721,0.955279
15,0.999990,0.000010
16,0.999388,0.000612
17,0.987413,0.012587
18,0.052960,0.947040
19,0.999998,0.000002
20,0.411562,0.588438
21,0.000003,0.999997
22,0.000001,0.999999
23,0.978377,0.021623
24,0.937176,0.062824
25,0.002906,0.997094
26,0.999979,0.000021
27,0.000000,1.000000
28,0.021600,0.978400
29,0.019478,0.980522
30,0.306965,0.693035
31,0.009289,0.990711
32,0.080818,0.919182
33,0.248293,0.751707
34,0.694207,0.305793
35,0.955705,0.044295
36,0.008199,0.991801
37,0.024888,0.975112
38,0.979220,0.020780
39,0.004033,0.995967
40,0.000003,0.999997
41,0.000001,0.999999
42,0.000000,1.000000
43,0.995066,0.004934
44,0.922612,0.077388
45,0.604965,0.395035
46,0.120029,0.879971
47,0.603184,0.396816
48,0.914409,0.085591
49,0.000000,1.000000
50,0.952213,0.047787
51,0.217030,0.782970
52,0.338880,0.661120
53,0.948546,0.051454
54,0.256071,0.743929
55,0.000014,0.999986
56,0.000000,1.000000
57,0.097794,0.902206
58,0.955991,0.044009
59,0.391662,0.608338
60,0.000000,1.000000
61,0.966984,0.033016
62,0.114077,0.885923
63,0.000000,1.000000
64,0.000003,0.999997
65,0.000007,0.999993
66,0.352420,0.647580
67,0.017311,0.982689
68,0.000000,1.000000
69,0.999378,0.000622
70,0.992982,0.007018
71,0.018675,0.981325
72,0.009562,0.990438
73,0.003601,0.996399
74,0.000000,1.000000
75,0.081699,0.918301
76,0.023152,0.976848
77,0.746544,0.253456
78,0.968621,0.031379
79,0.000001,0.999999
80,0.015165,0.984835
81,0.011399,0.988601
82,0.000016,0.999984
83,0.000000,1.000000
84,0.000000,1.000000
85,0.000000,1.000000
86,0.998686,0.001314
87,0.573322,0.426678
88,0.003466,0.996534
89,0.000000,1.000000
90,0.003822,0.996178
91,0.055594,0.944406
92,0.007733,0.992267
93,0.999998,0.000002
94,0.999998,0.000002
95,0.124916,0.875084
96,0.548612,0.451388
97,0.885576,0.114424
98,0.000011,0.999989
99,0.002905,0.997095
100,0.000006,0.999994
101,0.711434,0.288566
102,0.559186,0.440814
103,0.000000,1.000000
104,0.068634,0.931366
105,0.055135,0.944865
106,0.094762,0.905238
107,0.999382,0.000618
108,0.720658,0.279342
109,0.038462,0.961538
110,0.589989,0.410011
111,0.090363,0.909637
112,0.976813,0.023187
113,0.276597,0.723403
114,0.000000,1.000000
115,0.043812,0.956188
116,0.604266,0.395734
117,0.982015,0.017985
118,0.691670,0.308330
119,0.000007,0.999993
120,0.990242,0.009758
121,0.092792,0.907208
122,0.000000,1.000000
123,0.217990,0.782010
124,0.362480,0.637520
125,0.022794,0.977206
126,0.806017,0.193983
127,0.999998,0.000002
128,0.987625,0.012375
129,0.011528,0.988472
130,0.000000,1.000000
131,0.473582,0.526418
132,0.049146,0.950854
133,0.026564,0.973436
134,0.020064,0.979936
135,0.000001,0.999999
136,0.999939,0.000061
137,0.973419,0.026581
138,0.035691,0.964309
139,0.993284,0.006716
140,0.999740,0.000260
141,0.002525,0.997475
142,0.012777,0.987223
143,0.000001,0.999999
144,0.002767,0.997233
145,0.989292,0.010708
146,0.271593,0.728407
147,0.995233,0.004767
148,0.888918,0.111082
149,0.421028,0.578972
150,0.983588,0.016412
151,0.547553,0.452447
152,0.998393,0.001607
153,0.999995,0.000005
154,0.966752,0.033248
155,0.999992,0.000008
156,0.921411,0.078589
157,0.007115,0.992885
158,0.004801,0.995199
159,0.999932,0.000068
160,0.000000,1.000000
161,0.832715,0.167285
162,0.000017,0.999983
163,0.036633,0.963367
164,0.000001,0.999999
165,0.000003,0.999997
166,0.295592,0.704408
167,0.998975,0.001025
168,0.006009,0.993991
169,0.239301,0.760699
170,0.996374,0.003626
171,0.000000,1.000000
172,0.999968,0.000032
173,0.016465,0.983535
174,0.999998,0.000002
175,0.472403,0.527597
176,0.410037,0.589963
177,0.120769,0.879231
178,0.181535,0.818465
179,0.952863,0.047137
180,0.000000,1.000000
181,0.000000,1.000000
182,0.000000,1.000000
183,0.269886,0.730114
184,0.721740,0.278260
185,0.069744,0.930256
186,0.999514,0.000486
187,0.519149,0.480851
188,0.026901,0.973099
189,0.000000,1.000000
190,0.457430,0.542570
191,0.809909,0.190091
192,0.000000,1.000000
193,0.879110,0.120890
194,0.993876,0.006124
195,0.653228,0.346772
196,0.000000,1.000000
197,0.011070,0.988930
198,0.821519,0.178481
199,0.255776,0.744224
200,0.976784,0.023216
201,0.960355,0.039645
202,0.979850,0.020150
203,0.959279,0.040721
204,0.000001,0.999999
205,0.283911,0.716089
206,0.964953,0.035047
207,0.000000,1.000000
208,0.000000,1.000000
209,0.000000,1.000000
210,0.000000,1.000000
211,0.215572,0.784428
212,0.104343,0.895657
213,0.654809,0.345191
214,0.003072,0.996928
215,0.210510,0.789490
216,0.040950,0.959050
217,0.828016,0.171984
218,0.000000,1.000000
219,0.023505,0.976495
220,0.011741,0.988259
221,0.025104,0.974896
222,0.000000,1.000000
223,0.812353,0.187647
224,0.978125,0.021875
225,0.978972,0.021028
226,0.578977,0.421023
227,0.298771,0.701229
228,0.376346,0.623654
229,0.000001,0.999999
230,0.029685,0.970315
231,0.999224,0.000776
232,0.157587,0.842413
233,0.895780,0.104220
234,0.018608,0.981392
235,0.282759,0.717241
236,0.998484,0.001516
