id,realDonaldTrump,HillaryClinton
0,0.185692,0.814308
1,0.000008,0.999992
2,0.000000,1.000000
3,0.000002,0.999998
4,0.988483,0.011517
5,0.024053,0.975947
6,0.005407,0.994593
7,0.000000,1.000000
8,0.020988,0.979012
9,0.998552,0.001448
10,1.000000,0.000000
11,0.054493,0.945507
12,0.037386,0.962614
13,0.251087,0.748913
14,0.045967,0.954033
15,0.999966,0.000034
16,0.998694,0.001306
17,0.994824,0.005176
18,0.043204,0.956796
19,0.999995,0.000005
20,0.257828,0.742172
21,0.000003,0.999997
22,0.000001,0.999999
23,0.995007,0.004993
24,0.820828,0.179172
25,0.002647,0.997353
26,0.999948,0.000052
27,0.000000,1.000000
28,0.031308,0.968692
29,0.023054,0.976946
30,0.212981,0.787019
31,0.008957,0.991043
32,0.063880,0.936120
33,0.167503,0.832497
34,0.696641,0.303359
35,0.885127,0.114873
36,0.002556,0.997444
37,0.029135,0.970865
38,0.889136,0.110864
39,0.019701,0.980299
40,0.000002,0.999998
41,0.000002,0.999998
42,0.000000,1.000000
43,0.995605,0.004395
44,0.939374,0.060626
45,0.657832,0.342168
46,0.203085,0.796915
47,0.602120,0.397880
48,0.921595,0.078405
49,0.000000,1.000000
50,0.909801,0.090199
51,0.471153,0.528847
52,0.369380,0.630620
53,0.942749,0.057251
54,0.255142,0.744858
55,0.000017,0.999983
56,0.000000,1.000000
57,0.069699,0.930301
58,0.948387,0.051613
59,0.215635,0.784365
60,0.000000,1.000000
61,0.946742,0.053258
62,0.131053,0.868947
63,0.000000,1.000000
64,0.000013,0.999987
65,0.002997,0.997003
66,0.560519,0.439481
67,0.042268,0.957732
68,0.000000,1.000000
69,0.998107,0.001893
70,0.993352,0.006648
71,0.028863,0.971137
72,0.009351,0.990649
73,0.003441,0.996559
74,0.000000,1.000000
75,0.049114,0.950886
76,0.013866,0.986134
77,0.535082,0.464918
78,0.956959,0.043041
79,0.000005,0.999995
80,0.012250,0.987750
81,0.003738,0.996262
82,0.000001,0.999999
83,0.000000,1.000000
84,0.000000,1.000000
85,0.000000,1.000000
86,0.998813,0.001187
87,0.417076,0.582924
88,0.002923,0.997077
89,0.000000,1.000000
90,0.003797,0.996203
91,0.034788,0.965212
92,0.012133,0.987867
93,0.999993,0.000007
94,0.999993,0.000007
95,0.151624,0.848376
96,0.300086,0.699914
97,0.907591,0.092409
98,0.000016,0.999984
99,0.008107,0.991893
100,0.000004,0.999996
101,0.402925,0.597075
102,0.651749,0.348251
103,0.000001,0.999999
104,0.066460,0.933540
105,0.060312,0.939688
106,0.065966,0.934034
107,0.998594,0.001406
108,0.703293,0.296707
109,0.026992,0.973008
110,0.285115,0.714885
111,0.065020,0.934980
112,0.974416,0.025584
113,0.189550,0.810450
114,0.000000,1.000000
115,0.090888,0.909112
116,0.752660,0.247340
117,0.976866,0.023134
118,0.500000,0.500000
119,0.000003,0.999997
120,0.981394,0.018606
121,0.132315,0.867685
122,0.000000,1.000000
123,0.198302,0.801698
124,0.269311,0.730689
125,0.015141,0.984859
126,0.882160,0.117840
127,0.999996,0.000004
128,0.993616,0.006384
129,0.018714,0.981286
130,0.000000,1.000000
131,0.615309,0.384691
132,0.033479,0.966521
133,0.027854,0.972146
134,0.045177,0.954823
135,0.003269,0.996731
136,0.999948,0.000052
137,0.930080,0.069920
138,0.065686,0.934314
139,0.994154,0.005846
140,0.999713,0.000287
141,0.006417,0.993583
142,0.013831,0.986169
143,0.000003,0.999997
144,0.004177,0.995823
145,0.992333,0.007667
146,0.262387,0.737613
147,0.997073,0.002927
148,0.902821,0.097179
149,0.520605,0.479395
150,0.989805,0.010195
151,0.550735,0.449265
