id,realDonaldTrump,HillaryClinton
0,0.228446,0.771554
1,0.000004,0.999996
2,0.000000,1.000000
3,0.000000,1.000000
4,0.997946,0.002054
5,0.064841,0.935159
6,0.257731,0.742269
7,0.000008,0.999992
8,0.000002,0.999998
9,0.999889,0.000111
10,0.999993,0.000007
11,0.011438,0.988562
12,0.323714,0.676286
13,0.126664,0.873336
14,0.029257,0.970743
15,0.999995,0.000005
16,0.999226,0.000774
17,0.989019,0.010981
18,0.492490,0.507510
19,0.999946,0.000054
20,0.115529,0.884471
21,0.016377,0.983623
22,0.011761,0.988239
23,0.960413,0.039587
24,0.252040,0.747960
25,0.012892,0.987108
26,1.000000,0.000000
27,0.000002,0.999998
28,0.013414,0.986586
29,0.000003,0.999997
30,0.961901,0.038099
31,0.041633,0.958367
32,0.030161,0.969839
33,0.683063,0.316937
34,0.993903,0.006097
35,0.940507,0.059493
36,0.268675,0.731325
37,0.050977,0.949023
38,0.916244,0.083756
39,0.044625,0.955375
40,0.091690,0.908310
41,0.029076,0.970924
42,0.012369,0.987631
43,0.998916,0.001084
44,0.657157,0.342843
45,0.686155,0.313845
46,0.696165,0.303835
47,0.812014,0.187986
48,0.075064,0.924936
49,0.000005,0.999995
50,0.401624,0.598376
51,0.331212,0.668788
52,0.842218,0.157782
53,0.929711,0.070289
54,0.727983,0.272017
55,0.003781,0.996219
56,0.000000,1.000000
57,0.011794,0.988206
58,0.999512,0.000488
59,0.024591,0.975409
60,0.000000,1.000000
61,0.922255,0.077745
62,0.095799,0.904201
63,0.050720,0.949280
64,0.014269,0.985731
65,0.027655,0.972345
66,0.491955,0.508045
67,0.029828,0.970172
68,0.006001,0.993999
69,0.995248,0.004752
70,0.985863,0.014137
71,0.079316,0.920684
72,0.000012,0.999988
73,0.050921,0.949079
74,0.000009,0.999991
75,0.059488,0.940512
76,0.049833,0.950167
77,0.511402,0.488598
78,0.402462,0.597538
79,0.000000,1.000000
80,0.021504,0.978496
81,0.038913,0.961087
82,0.007156,0.992844
83,0.000000,1.000000
84,0.000001,0.999999
85,0.015346,0.984654
86,0.996526,0.003474
87,0.278043,0.721957
88,0.014877,0.985123
89,0.015315,0.984685
90,0.073618,0.926382
91,0.012708,0.987292
92,0.000004,0.999996
93,0.999999,0.000001
94,0.999999,0.000001
95,0.326119,0.673881
96,0.800172,0.199828
97,0.943883,0.056117
98,0.040316,0.959684
99,0.568173,0.431827
100,0.012358,0.987642
101,0.969527,0.030473
102,0.159760,0.840240
103,0.018584,0.981416
104,0.185143,0.814857
105,0.037315,0.962685
106,0.185576,0.814424
107,0.997384,0.002616
108,0.996706,0.003294
109,0.105248,0.894752
110,0.892388,0.107612
111,0.125151,0.874849
112,0.972854,0.027146
113,0.038225,0.961775
114,0.000000,1.000000
115,0.004415,0.995585
116,0.227571,0.772429
117,0.968334,0.031666
118,0.895109,0.104891
119,0.005491,0.994509
120,0.663111,0.336889
121,0.153264,0.846736
122,0.000000,1.000000
123,0.116163,0.883837
124,0.628700,0.371300
125,0.017888,0.982112
126,0.981727,0.018273
127,0.999998,0.000002
128,0.999978,0.000022
129,0.183363,0.816637
130,0.004471,0.995529
131,0.091640,0.908360
132,0.000004,0.999996
133,0.004429,0.995571
134,0.231928,0.768072
135,0.004037,0.995963
136,0.999350,0.000650
137,0.917682,0.082318
138,0.047667,0.952333
139,0.940158,0.059842
140,0.999800,0.000200
141,0.028245,0.971755
142,0.005009,0.994991
143,0.010039,0.989961
144,0.002604,0.997396
145,0.981601,0.018399
146,0.258664,0.741336
147,0.939994,0.060006
148,0.861088,0.138912
149,0.060249,0.939751
150,0.988167,0.011833
151,0.928780,0.071220
152,0.966805,0.033195
153,0.999969,0.000031
154,0.995306,0.004694
155,0.999983,0.000017
156,0.925498,0.074502
157,0.000000,1.000000
158,0.293523,0.706477
159,0.999970,0.000030
160,0.000002,0.999998
161,0.971260,0.028740
162,0.269396,0.730604
163,0.170393,0.829607
164,0.089235,0.910765
165,0.011924,0.988076
166,0.986192,0.013808
167,0.978706,0.021294
