id,realDonaldTrump,HillaryClinton
0,0.329018,0.670982
1,0.000002,0.999998
2,0.000000,1.000000
3,0.000000,1.000000
4,0.998010,0.001990
5,0.066024,0.933976
6,0.366049,0.633951
7,0.000015,0.999985
8,0.000001,0.999999
9,0.999920,0.000080
10,0.999998,0.000002
11,0.008402,0.991598
12,0.334484,0.665516
13,0.129514,0.870486
14,0.026056,0.973944
15,0.999994,0.000006
16,0.999508,0.000492
17,0.992623,0.007377
18,0.447098,0.552902
19,0.999952,0.000048
20,0.069592,0.930408
21,0.010624,0.989376
22,0.016456,0.983544
23,0.954548,0.045452
24,0.195956,0.804044
25,0.005679,0.994321
26,0.999999,0.000001
27,0.000000,1.000000
28,0.016303,0.983697
29,0.002655,0.997345
30,0.969188,0.030812
31,0.022246,0.977754
32,0.013128,0.986872
33,0.722443,0.277557
34,0.993319,0.006681
35,0.952392,0.047608
36,0.124469,0.875531
37,0.047896,0.952104
38,0.817662,0.182338
39,0.040866,0.959134
40,0.015194,0.984806
41,0.020608,0.979392
42,0.007600,0.992400
43,0.997833,0.002167
44,0.534905,0.465095
45,0.648023,0.351977
46,0.513162,0.486838
47,0.844415,0.155585
48,0.096592,0.903408
49,0.000001,0.999999
50,0.556585,0.443415
51,0.274648,0.725352
52,0.716085,0.283915
53,0.955102,0.044898
54,0.647090,0.352910
55,0.003096,0.996904
56,0.000000,1.000000
57,0.010708,0.989292
58,0.999648,0.000352
59,0.060438,0.939562
60,0.000000,1.000000
61,0.956300,0.043700
62,0.089962,0.910038
63,0.052170,0.947830
64,0.011870,0.988130
65,0.028526,0.971474
66,0.417087,0.582913
67,0.013762,0.986238
68,0.004644,0.995356
69,0.996782,0.003218
70,0.993407,0.006593
71,0.032542,0.967458
72,0.000008,0.999992
73,0.035509,0.964491
74,0.000002,0.999998
75,0.047765,0.952235
76,0.058291,0.941709
77,0.490498,0.509502
78,0.514126,0.485874
79,0.000000,1.000000
80,0.025773,0.974227
81,0.023199,0.976801
82,0.005023,0.994977
83,0.000000,1.000000
84,0.000000,1.000000
85,0.008007,0.991993
86,0.996764,0.003236
87,0.260725,0.739275
88,0.008702,0.991298
89,0.005487,0.994513
90,0.077033,0.922967
91,0.016811,0.983189
92,0.000001,0.999999
93,0.999999,0.000001
94,0.999999,0.000001
95,0.273103,0.726897
96,0.789659,0.210341
97,0.891768,0.108232
98,0.024661,0.975339
99,0.500000,0.500000
100,0.006402,0.993598
101,0.947921,0.052079
102,0.307324,0.692676
103,0.018621,0.981379
104,0.135895,0.864105
105,0.050432,0.949568
106,0.176338,0.823662
107,0.997622,0.002378
108,0.995289,0.004711
109,0.046119,0.953881
110,0.853951,0.146049
111,0.110187,0.889813
112,0.980801,0.019199
113,0.020875,0.979125
114,0.000000,1.000000
115,0.003586,0.996414
116,0.274567,0.725433
117,0.975899,0.024101
118,0.854590,0.145410
119,0.005185,0.994815
120,0.757106,0.242894
121,0.127869,0.872131
122,0.000000,1.000000
123,0.316168,0.683832
124,0.700225,0.299775
125,0.012208,0.987792
126,0.968128,0.031872
127,0.999996,0.000004
128,0.999965,0.000035
129,0.139415,0.860585
130,0.003545,0.996455
131,0.077843,0.922157
132,0.000001,0.999999
133,0.006279,0.993721
134,0.168227,0.831773
135,0.004205,0.995795
136,0.999546,0.000454
137,0.946188,0.053812
138,0.028773,0.971227
139,0.919613,0.080387
140,0.999852,0.000148
141,0.022181,0.977819
142,0.005426,0.994574
143,0.004039,0.995961
144,0.000011,0.999989
145,0.988127,0.011873
146,0.294226,0.705774
147,0.963313,0.036687
148,0.932753,0.067247
149,0.030333,0.969667
150,0.989903,0.010097
151,0.912620,0.087380
152,0.963433,0.036567
153,0.999977,0.000023
154,0.993793,0.006207
155,0.999990,0.000010
156,0.946815,0.053185
157,0.000000,1.000000
158,0.215304,0.784696
159,0.999987,0.000013
160,0.000002,0.999998
161,0.972117,0.027883
162,0.271504,0.728496
163,0.081428,0.918572
164,0.069512,0.930488
165,0.017563,0.982437
166,0.988159,0.011841
167,0.968735,0.031265
168,0.018581,0.981419
169,0.108749,0.891251
170,0.932695,0.067305
171,0.002691,0.997309
172,0.999781,0.000219
173,0.321742,0.678258
174,0.999998,0.000002
175,0.027317,0.972683
176,0.493196,0.506804
177,0.007124,0.992876
178,0.139083,0.860917
179,0.900481,0.099519
180,0.000000,1.000000
181,0.000000,1.000000
182,0.000000,1.000000
183,0.189879,0.810121
184,0.809785,0.190215
185,0.011868,0.988132
186,0.999266,0.000734
187,0.060759,0.939241
188,0.345757,0.654243
189,0.000000,1.000000
190,0.201886,0.798114
191,0.483096,0.516904
192,0.000000,1.000000
193,0.998367,0.001633
194,0.999480,0.000520
195,0.239884,0.760116
196,0.000000,1.000000
197,0.062247,0.937753
198,0.803249,0.196751
199,0.026238,0.973762
200,0.961516,0.038484
201,0.987573,0.012427
202,0.972331,0.027669
203,0.080574,0.919426
204,0.002666,0.997334
205,0.124946,0.875054
206,0.966390,0.033610
207,0.000000,1.000000
208,0.000002,0.999998
209,0.000000,1.000000
210,0.000000,1.000000
211,0.033870,0.966130
212,0.106698,0.893302
213,0.092096,0.907904
214,0.183381,0.816619
215,0.009819,0.990181
216,0.176129,0.823871
217,0.160285,0.839715
218,0.000000,1.000000
219,0.126940,0.873060
220,0.031832,0.968168
221,0.131303,0.868697
222,0.000009,0.999991
223,0.823028,0.176972
224,0.999014,0.000986
225,0.966182,0.033818
226,0.915375,0.084625
227,0.300114,0.699886
228,0.391749,0.608251
229,0.053746,0.946254
230,0.009048,0.990952
231,0.999117,0.000883
232,0.109536,0.890464
233,0.601603,0.398397
234,0.033821,0.966179
235,0.023294,0.976706
236,0.993911,0.006089
237,0.913618,0.086382
238,0.000000,1.000000
239,0.980779,0.019221
240,0.999761,0.000239
241,0.455045,0.544955
242,0.363091,0.636909
243,0.000010,0.999990
244,0.163012,0.836988
245,0.000000,1.000000
246,0.026384,0.973616
247,0.999998,0.000002
248,0.005872,0.994128
249,0.000000,1.000000
250,0.311820,0.688180
251,0.000004,0.999996
252,0.237020,0.762980
253,0.000003,0.999997
254,0.008634,0.991366
255,0.000000,1.000000
256,0.999688,0.000312
257,0.000001,0.999999
258,0.033323,0.966677
259,0.000006,0.999994
260,0.220331,0.779669
261,0.637640,0.362360
262,0.353039,0.646961
263,0.000000,1.000000
264,0.000008,0.999992
265,0.023072,0.976928
266,0.021103,0.978897
267,0.957742,0.042258
268,0.231841,0.768159
269,0.999790,0.000210
270,0.914094,0.085906
271,0.248175,0.751825
272,0.935069,0.064931
273,0.014315,0.985685
274,0.000001,0.999999
275,0.352388,0.647612
276,0.998741,0.001259
277,0.510661,0.489339
278,0.996595,0.003405
279,0.021258,0.978742
280,0.990978,0.009022
281,0.694975,0.305025
282,0.000000,1.000000
283,0.710785,0.289215
284,0.320356,0.679644
285,0.902402,0.097598
286,0.615967,0.384033
287,0.741836,0.258164
288,0.012376,0.987624
289,0.830279,0.169721
290,0.978447,0.021553
291,0.299839,0.700161
292,0.000002,0.999998
293,0.000009,0.999991
294,0.011362,0.988638
295,0.444969,0.555031
296,0.992418,0.007582
297,0.995119,0.004881
298,0.032395,0.967605
299,0.181304,0.818696
300,0.086524,0.913476
301,0.062746,0.937254
302,0.231587,0.768413
303,0.987614,0.012386
304,0.836716,0.163284
305,0.856331,0.143669
306,0.048459,0.951541
307,0.052312,0.947688
308,0.999042,0.000958
309,0.762490,0.237510
310,0.328414,0.671586
311,0.188453,0.811547
312,0.627473,0.372527
313,0.006411,0.993589
314,0.472482,0.527518
315,0.003133,0.996867
316,0.017831,0.982169
317,0.509293,0.490707
318,0.987136,0.012864
319,0.056014,0.943986
320,0.013481,0.986519
321,0.007494,0.992506
322,0.615784,0.384216
323,0.452453,0.547547
324,0.007901,0.992099
325,0.808972,0.191028
326,0.999700,0.000300
327,0.968204,0.031796
328,0.000000,1.000000
329,0.137419,0.862581
330,1.000000,0.000000
331,0.014218,0.985782
332,0.797065,0.202935
333,0.000000,1.000000
334,0.178077,0.821923
335,0.958294,0.041706
336,0.723080,0.276920
337,0.978441,0.021559
338,0.033821,0.966179
339,0.996539,0.003461
340,0.998735,0.001265
341,0.015155,0.984845
342,0.962519,0.037481
343,0.921574,0.078426
344,0.000002,0.999998
345,0.000001,0.999999
346,0.999766,0.000234
347,0.000018,0.999982
348,0.323252,0.676748
349,0.997745,0.002255
350,0.060383,0.939617
351,0.037770,0.962230
352,0.982516,0.017484
353,0.879644,0.120356
354,0.988885,0.011115
355,0.989918,0.010082
356,0.194209,0.805791
357,0.354249,0.645751
358,0.220252,0.779748
359,0.981007,0.018993
360,0.014068,0.985932
361,0.102913,0.897087
362,0.309634,0.690366
363,0.050209,0.949791
364,0.476854,0.523146
365,0.119127,0.880873
366,0.200362,0.799638
367,0.976876,0.023124
368,0.000000,1.000000
369,0.986001,0.013999
370,0.014336,0.985664
371,0.000000,1.000000
372,0.908344,0.091656
373,0.000000,1.000000
374,0.999231,0.000769
375,0.885915,0.114085
376,0.007596,0.992404
377,0.996218,0.003782
378,0.999768,0.000232
379,0.776783,0.223217
380,0.998988,0.001012
381,0.656382,0.343618
382,0.999042,0.000958
383,0.744775,0.255225
384,0.000000,1.000000
385,0.282730,0.717270
386,0.808326,0.191674
387,0.014691,0.985309
388,0.004379,0.995621
389,0.003036,0.996964
390,0.321824,0.678176
391,0.973476,0.026524
392,0.185574,0.814426
393,0.991357,0.008643
394,0.000002,0.999998
395,1.000000,0.000000
396,0.042165,0.957835
397,0.981265,0.018735
398,0.000000,1.000000
399,0.583349,0.416651
400,0.000003,0.999997
401,0.046663,0.953337
402,0.106216,0.893784
403,0.999808,0.000192
404,0.999934,0.000066
405,0.195017,0.804983
406,1.000000,0.000000
407,0.000000,1.000000
408,1.000000,0.000000
409,0.055085,0.944915
410,0.769141,0.230859
411,0.130199,0.869801
412,0.000006,0.999994
413,0.025497,0.974503
414,0.121507,0.878493
415,0.999995,0.000005
416,0.996218,0.003782
417,1.000000,0.000000
418,0.000001,0.999999
419,0.994971,0.005029
420,0.100780,0.899220
421,0.626263,0.373737
422,0.999977,0.000023
423,0.994763,0.005237
424,0.415629,0.584371
425,0.992156,0.007844
426,0.007423,0.992577
427,0.996273,0.003727
428,0.000006,0.999994
429,0.210796,0.789204
430,0.004558,0.995442
431,0.761075,0.238925
432,0.298565,0.701435
433,0.680907,0.319093
434,0.085236,0.914764
435,0.008976,0.991024
436,0.995767,0.004233
437,0.990426,0.009574
438,0.719295,0.280705
439,0.010240,0.989760
440,0.993661,0.006339
441,0.000000,1.000000
442,0.883227,0.116773
443,0.500000,0.500000
444,0.845693,0.154307
445,0.195396,0.804604
446,0.080030,0.919970
447,0.999999,0.000001
448,0.913810,0.086190
449,0.320651,0.679349
450,0.095017,0.904983
451,0.539506,0.460494
452,0.997235,0.002765
453,0.000000,1.000000
454,0.998943,0.001057
455,1.000000,0.000000
456,0.000000,1.000000
457,0.016995,0.983005
458,0.974442,0.025558
459,0.849855,0.150145
460,0.020958,0.979042
461,0.000000,1.000000
462,0.885877,0.114123
463,0.005009,0.994991
464,0.949751,0.050249
465,0.410060,0.589940
466,0.033821,0.966179
467,0.009330,0.990670
468,0.354690,0.645310
