id,realDonaldTrump,HillaryClinton
0,0.420008,0.579992
1,0.002881,0.997119
2,0.000000,1.000000
3,0.000000,1.000000
4,0.994838,0.005162
5,0.049664,0.950336
6,0.262610,0.737390
7,0.002926,0.997074
8,0.000011,0.999989
9,0.999833,0.000167
10,0.999998,0.000002
11,0.008393,0.991607
12,0.222292,0.777708
13,0.229725,0.770275
14,0.053463,0.946537
15,0.999989,0.000011
16,0.999506,0.000494
17,0.990042,0.009958
18,0.313591,0.686409
19,0.999916,0.000084
20,0.057375,0.942625
21,0.004389,0.995611
22,0.014786,0.985214
23,0.887142,0.112858
24,0.192004,0.807996
25,0.003121,0.996879
26,0.999998,0.000002
27,0.000000,1.000000
28,0.021053,0.978947
29,0.003499,0.996501
30,0.974118,0.025882
31,0.030241,0.969759
32,0.021703,0.978297
33,0.670729,0.329271
34,0.971551,0.028449
35,0.917120,0.082880
36,0.046503,0.953497
37,0.038687,0.961313
38,0.485346,0.514654
39,0.030265,0.969735
40,0.011465,0.988535
41,0.036416,0.963584
42,0.006058,0.993942
43,0.996944,0.003056
44,0.335656,0.664344
45,0.626599,0.373401
46,0.450199,0.549801
47,0.815204,0.184796
48,0.195658,0.804342
49,0.000001,0.999999
50,0.553487,0.446513
51,0.312008,0.687992
52,0.554665,0.445335
53,0.954656,0.045344
54,0.450031,0.549969
55,0.014847,0.985153
56,0.000000,1.000000
57,0.022001,0.977999
58,0.999154,0.000846
59,0.151883,0.848117
60,0.000000,1.000000
61,0.938843,0.061157
62,0.144330,0.855670
63,0.062438,0.937562
64,0.006686,0.993314
65,0.023135,0.976865
66,0.311846,0.688154
67,0.011347,0.988653
68,0.002785,0.997215
69,0.998114,0.001886
70,0.981916,0.018084
71,0.020821,0.979179
72,0.003602,0.996398
73,0.075583,0.924417
74,0.000004,0.999996
75,0.161849,0.838151
76,0.015754,0.984246
77,0.436117,0.563883
78,0.701979,0.298021
79,0.000001,0.999999
80,0.044841,0.955159
81,0.018850,0.981150
82,0.011633,0.988367
83,0.000000,1.000000
84,0.000000,1.000000
85,0.002926,0.997074
86,0.996760,0.003240
87,0.326564,0.673436
88,0.003669,0.996331
89,0.007602,0.992398
90,0.084334,0.915666
91,0.023246,0.976754
92,0.000000,1.000000
93,0.999995,0.000005
94,0.999995,0.000005
95,0.387347,0.612653
96,0.706181,0.293819
97,0.799604,0.200396
98,0.016196,0.983804
99,0.196026,0.803974
100,0.008954,0.991046
101,0.911152,0.088848
102,0.436053,0.563947
103,0.029394,0.970606
104,0.081639,0.918361
105,0.062662,0.937338
106,0.198761,0.801239
107,0.995666,0.004334
108,0.985582,0.014418
109,0.048177,0.951823
110,0.580503,0.419497
111,0.065383,0.934617
112,0.981377,0.018623
113,0.082149,0.917851
114,0.000000,1.000000
115,0.000010,0.999990
116,0.189756,0.810244
117,0.967753,0.032247
118,0.813508,0.186492
119,0.016128,0.983872
120,0.846646,0.153354
121,0.052863,0.947137
122,0.000000,1.000000
123,0.241257,0.758743
124,0.628118,0.371882
125,0.014173,0.985827
126,0.944726,0.055274
127,0.999972,0.000028
128,0.999896,0.000104
129,0.111515,0.888485
130,0.003335,0.996665
131,0.130284,0.869716
132,0.000004,0.999996
133,0.010676,0.989324
134,0.205290,0.794710
135,0.003935,0.996065
136,0.999846,0.000154
137,0.961862,0.038138
138,0.062696,0.937304
139,0.898885,0.101115
140,0.999890,0.000110
141,0.042047,0.957953
142,0.004136,0.995864
143,0.003097,0.996903
144,0.002899,0.997101
145,0.995062,0.004938
146,0.213478,0.786522
147,0.970084,0.029916
148,0.939807,0.060193
149,0.022495,0.977505
150,0.992888,0.007112
151,0.895688,0.104312
152,0.954279,0.045721
153,0.999975,0.000025
154,0.988607,0.011393
155,0.999990,0.000010
156,0.881732,0.118268
157,0.000000,1.000000
158,0.155872,0.844128
159,0.999990,0.000010
160,0.000003,0.999997
161,0.953423,0.046577
162,0.213871,0.786129
163,0.094753,0.905247
164,0.044027,0.955973
165,0.045650,0.954350
166,0.981852,0.018148
167,0.946206,0.053794
168,0.010851,0.989149
169,0.119788,0.880212
170,0.928619,0.071381
171,0.000009,0.999991
172,0.999857,0.000143
173,0.229306,0.770694
174,0.999997,0.000003
175,0.017284,0.982716
176,0.562353,0.437647
177,0.007026,0.992974
178,0.217314,0.782686
179,0.906672,0.093328
180,0.000000,1.000000
181,0.000000,1.000000
182,0.000000,1.000000
183,0.108464,0.891536
184,0.818689,0.181311
185,0.009357,0.990643
186,0.999118,0.000882
187,0.101834,0.898166
188,0.371198,0.628802
189,0.000001,0.999999
190,0.284270,0.715730
191,0.387579,0.612421
192,0.000000,1.000000
193,0.994649,0.005351
194,0.998564,0.001436
195,0.206921,0.793079
196,0.000000,1.000000
197,0.064860,0.935140
198,0.748150,0.251850
199,0.020596,0.979404
200,0.964359,0.035641
201,0.983901,0.016099
202,0.964328,0.035672
203,0.103366,0.896634
204,0.011516,0.988484
205,0.082594,0.917406
206,0.949007,0.050993
207,0.000000,1.000000
208,0.000002,0.999998
209,0.000000,1.000000
210,0.000000,1.000000
211,0.051866,0.948134
212,0.217601,0.782399
213,0.087387,0.912613
214,0.091381,0.908619
215,0.014334,0.985666
216,0.218133,0.781867
217,0.046216,0.953784
218,0.000000,1.000000
219,0.101710,0.898290
220,0.022428,0.977572
221,0.121366,0.878634
222,0.003265,0.996735
223,0.789024,0.210976
224,0.998017,0.001983
225,0.971683,0.028317
226,0.902424,0.097576
227,0.213538,0.786462
228,0.500000,0.500000
229,0.019483,0.980517
230,0.015136,0.984864
231,0.998326,0.001674
232,0.216591,0.783409
233,0.512422,0.487578
234,0.017009,0.982991
235,0.047277,0.952723
236,0.985329,0.014671
237,0.903918,0.096082
238,0.000000,1.000000
239,0.961923,0.038077
240,0.999764,0.000236
241,0.500000,0.500000
242,0.369065,0.630935
243,0.000011,0.999989
244,0.269512,0.730488
245,0.000000,1.000000
246,0.020209,0.979791
247,0.999993,0.000007
248,0.002858,0.997142
249,0.000000,1.000000
250,0.234871,0.765129
251,0.000002,0.999998
252,0.095238,0.904762
253,0.000002,0.999998
254,0.030947,0.969053
255,0.000000,1.000000
256,0.999353,0.000647
257,0.000002,0.999998
258,0.042533,0.957467
259,0.000017,0.999983
260,0.228111,0.771889
261,0.429580,0.570420
262,0.789863,0.210137
263,0.000000,1.000000
264,0.000014,0.999986
265,0.037754,0.962246
266,0.028919,0.971081
267,0.941015,0.058985
268,0.271467,0.728533
269,0.999521,0.000479
270,0.854394,0.145606
271,0.211879,0.788121
272,0.928011,0.071989
273,0.041577,0.958423
274,0.000014,0.999986
275,0.223884,0.776116
276,0.996858,0.003142
277,0.515006,0.484994
278,0.995446,0.004554
279,0.017874,0.982126
280,0.980553,0.019447
281,0.709986,0.290014
282,0.000000,1.000000
283,0.576951,0.423049
284,0.450323,0.549677
285,0.889259,0.110741
286,0.576430,0.423570
287,0.699868,0.300132
288,0.017854,0.982146
289,0.655824,0.344176
290,0.959408,0.040592
291,0.146317,0.853683
292,0.000001,0.999999
293,0.003242,0.996758
294,0.008137,0.991863
295,0.257466,0.742534
296,0.982085,0.017915
297,0.994465,0.005535
298,0.053281,0.946719
299,0.144404,0.855596
300,0.022668,0.977332
301,0.069520,0.930480
302,0.258676,0.741324
303,0.977595,0.022405
304,0.656856,0.343144
305,0.935958,0.064042
306,0.068416,0.931584
307,0.039383,0.960617
308,0.998595,0.001405
309,0.732155,0.267845
310,0.321244,0.678756
311,0.203584,0.796416
312,0.515176,0.484824
313,0.007938,0.992062
314,0.546410,0.453590
315,0.000016,0.999984
316,0.025322,0.974678
317,0.434257,0.565743
318,0.948351,0.051649
319,0.043592,0.956408
320,0.070035,0.929965
321,0.012188,0.987812
322,0.603883,0.396117
323,0.312374,0.687626
324,0.007547,0.992453
325,0.773447,0.226553
326,0.999422,0.000578
327,0.983666,0.016334
328,0.000000,1.000000
329,0.097307,0.902693
330,1.000000,0.000000
331,0.028416,0.971584
332,0.602093,0.397907
333,0.000000,1.000000
334,0.104953,0.895047
335,0.845036,0.154964
336,0.820582,0.179418
337,0.922096,0.077904
338,0.017009,0.982991
339,0.995052,0.004948
340,0.997335,0.002665
341,0.005427,0.994573
342,0.941221,0.058779
343,0.924728,0.075272
344,0.000005,0.999995
345,0.000000,1.000000
346,0.999358,0.000642
347,0.000013,0.999987
348,0.374158,0.625842
349,0.996605,0.003395
350,0.114843,0.885157
351,0.042484,0.957516
352,0.982727,0.017273
353,0.893003,0.106997
354,0.943265,0.056735
355,0.981050,0.018950
356,0.136311,0.863689
357,0.270914,0.729086
358,0.195187,0.804813
359,0.951035,0.048965
360,0.011435,0.988565
361,0.051617,0.948383
362,0.481397,0.518603
363,0.047608,0.952392
364,0.488264,0.511736
365,0.036691,0.963309
366,0.227112,0.772888
367,0.971435,0.028565
368,0.000000,1.000000
369,0.967000,0.033000
370,0.017632,0.982368
371,0.000001,0.999999
372,0.886139,0.113861
373,0.000000,1.000000
374,0.999640,0.000360
375,0.773461,0.226539
376,0.004268,0.995732
377,0.989398,0.010602
378,0.998749,0.001251
379,0.762191,0.237809
380,0.996183,0.003817
381,0.693294,0.306706
382,0.998274,0.001726
383,0.613569,0.386431
384,0.000000,1.000000
385,0.120996,0.879004
386,0.688034,0.311966
387,0.013545,0.986455
388,0.003732,0.996268
389,0.003032,0.996968
390,0.353328,0.646672
391,0.959874,0.040126
392,0.121989,0.878011
393,0.989906,0.010094
394,0.000002,0.999998
395,1.000000,0.000000
396,0.055611,0.944389
397,0.958837,0.041163
398,0.000000,1.000000
399,0.469272,0.530728
400,0.000001,0.999999
401,0.053554,0.946446
402,0.051633,0.948367
403,0.999891,0.000109
404,0.999845,0.000155
405,0.324755,0.675245
406,0.999999,0.000001
407,0.000000,1.000000
408,1.000000,0.000000
409,0.044699,0.955301
410,0.869413,0.130587
411,0.059861,0.940139
412,0.000005,0.999995
413,0.025710,0.974290
414,0.116000,0.884000
415,0.999980,0.000020
416,0.989398,0.010602
417,1.000000,0.000000
418,0.000001,0.999999
419,0.987354,0.012646
420,0.069353,0.930647
421,0.369633,0.630367
422,0.999956,0.000044
423,0.992504,0.007496
424,0.275767,0.724233
425,0.985973,0.014027
426,0.010481,0.989519
427,0.981218,0.018782
428,0.004070,0.995930
429,0.234535,0.765465
430,0.004262,0.995738
431,0.793233,0.206767
432,0.175483,0.824517
433,0.792432,0.207568
434,0.051707,0.948293
435,0.008583,0.991417
436,0.984045,0.015955
437,0.989453,0.010547
438,0.688356,0.311644
439,0.006707,0.993293
440,0.986787,0.013213
441,0.000000,1.000000
442,0.852803,0.147197
443,0.606480,0.393520
444,0.715690,0.284310
445,0.137826,0.862174
446,0.106814,0.893186
447,0.999995,0.000005
448,0.838450,0.161550
449,0.214627,0.785373
450,0.151992,0.848008
451,0.300933,0.699067
452,0.996987,0.003013
453,0.000001,0.999999
454,0.998454,0.001546
455,1.000000,0.000000
456,0.000000,1.000000
457,0.008906,0.991094
458,0.922502,0.077498
459,0.864371,0.135629
460,0.008817,0.991183
461,0.000000,1.000000
462,0.791884,0.208116
463,0.012322,0.987678
464,0.899486,0.100514
465,0.376591,0.623409
466,0.017009,0.982991
467,0.009360,0.990640
468,0.600501,0.399499
469,0.669171,0.330829
470,0.210912,0.789088
471,0.198541,0.801459
472,0.140343,0.859657
473,0.589828,0.410172
474,0.092854,0.907146
475,0.473782,0.526218
476,0.422569,0.577431
477,0.014972,0.985028
478,0.088074,0.911926
479,0.002928,0.997072
480,0.112030,0.887970
481,0.998922,0.001078
482,0.932904,0.067096
483,0.996906,0.003094
484,0.678310,0.321690
485,0.108716,0.891284
486,0.991836,0.008164
487,0.000016,0.999984
488,0.077819,0.922181
489,0.067170,0.932830
490,0.340803,0.659197
491,0.851793,0.148207
492,0.129431,0.870569
493,0.031635,0.968365
494,0.996193,0.003807
495,0.862057,0.137943
496,0.587915,0.412085
497,0.200242,0.799758
498,0.000001,0.999999
499,0.025605,0.974395
500,0.287021,0.712979
501,0.004573,0.995427
502,0.339853,0.660147
503,0.000001,0.999999
504,0.008477,0.991523
505,0.978469,0.021531
506,0.261996,0.738004
507,0.000000,1.000000
508,0.003915,0.996085
509,0.585881,0.414119
510,0.999839,0.000161
511,0.075184,0.924816
512,0.999772,0.000228
513,0.892376,0.107624
514,0.990313,0.009687
515,0.000000,1.000000
516,0.794500,0.205500
517,0.929881,0.070119
518,0.000000,1.000000
519,0.000000,1.000000
520,0.971148,0.028852
521,0.955755,0.044245
522,0.000007,0.999993
523,0.652852,0.347148
524,0.813818,0.186182
525,0.195335,0.804665
526,0.007540,0.992460
527,0.796960,0.203040
528,0.728855,0.271145
529,0.997836,0.002164
530,0.604458,0.395542
531,0.528537,0.471463
532,0.000000,1.000000
533,0.778035,0.221965
534,0.074814,0.925186
535,0.015314,0.984686
536,0.930699,0.069301
537,0.096350,0.903650
538,0.641782,0.358218
539,0.015406,0.984594
540,0.266427,0.733573
541,0.017009,0.982991
542,0.131518,0.868482
543,0.940475,0.059525
544,0.944550,0.055450
545,0.995657,0.004343
546,0.749507,0.250493
547,0.951712,0.048288
548,0.002739,0.997261
549,0.000000,1.000000
550,0.936737,0.063263
551,0.989651,0.010349
552,0.535406,0.464594
553,0.937539,0.062461
554,0.979998,0.020002
555,0.000000,1.000000
556,0.005663,0.994337
557,0.009155,0.990845
558,0.023751,0.976249
559,0.024312,0.975688
560,0.983749,0.016251
561,0.012023,0.987977
562,0.000000,1.000000
563,0.635211,0.364789
564,0.000002,0.999998
565,0.023753,0.976247
566,0.170869,0.829131
567,0.685716,0.314284
568,0.999621,0.000379
569,0.000000,1.000000
570,0.195816,0.804184
571,0.000000,1.000000
572,0.875184,0.124816
573,0.706312,0.293688
574,0.288087,0.711913
575,0.188384,0.811616
576,0.917809,0.082191
577,0.971174,0.028826
578,0.478158,0.521842
579,0.151575,0.848425
580,0.461812,0.538188
581,0.935739,0.064261
582,0.980608,0.019392
583,0.787137,0.212863
584,0.998554,0.001446
585,0.681542,0.318458
586,0.999992,0.000008
587,0.997104,0.002896
588,0.935511,0.064489
589,0.510734,0.489266
590,0.010352,0.989648
591,0.013796,0.986204
592,0.993787,0.006213
593,0.035127,0.964873
594,0.000000,1.000000
595,0.017623,0.982377
596,0.004816,0.995184
597,0.990825,0.009175
598,0.009691,0.990309
599,0.202735,0.797265
600,0.999545,0.000455
601,0.707394,0.292606
602,0.994059,0.005941
603,0.994483,0.005517
604,0.008817,0.991183
605,0.003860,0.996140
606,0.602574,0.397426
607,0.009982,0.990018
608,0.005830,0.994170
609,0.005548,0.994452
610,0.133254,0.866746
611,0.542626,0.457374
612,0.999972,0.000028
613,0.006514,0.993486
614,0.999937,0.000063
615,0.000000,1.000000
616,0.200364,0.799636
617,0.000002,0.999998
618,0.009441,0.990559
619,0.252386,0.747614
620,0.996992,0.003008
621,0.991950,0.008050
622,0.146935,0.853065
623,0.054415,0.945585
624,0.434166,0.565834
625,0.999902,0.000098
626,0.437764,0.562236
627,0.000001,0.999999
628,0.719218,0.280782
629,0.893241,0.106759
630,0.009185,0.990815
631,0.009434,0.990566
632,0.033908,0.966092
633,0.000000,1.000000
634,0.698413,0.301587
635,0.997684,0.002316
636,0.986699,0.013301
637,0.443546,0.556454
638,0.068776,0.931224
639,0.993079,0.006921
640,0.003119,0.996881
641,0.973925,0.026075
642,0.806771,0.193229
643,0.178263,0.821737
644,0.176213,0.823787
645,0.452874,0.547126
646,0.000000,1.000000
647,0.999919,0.000081
648,0.786297,0.213703
649,0.999526,0.000474
650,0.008573,0.991427
651,0.007818,0.992182
652,0.000001,0.999999
653,0.954041,0.045959
654,0.792448,0.207552
655,0.570852,0.429148
656,0.586681,0.413319
657,0.003472,0.996528
658,0.991652,0.008348
659,0.903493,0.096507
660,0.999944,0.000056
661,0.005638,0.994362
662,0.864436,0.135564
663,0.046603,0.953397
664,0.927711,0.072289
665,0.965775,0.034225
666,0.648274,0.351726
667,0.330561,0.669439
668,0.139720,0.860280
669,0.402468,0.597532
670,0.904754,0.095246
671,0.201801,0.798199
672,0.962235,0.037765
673,0.261832,0.738168
674,0.902245,0.097755
675,0.998969,0.001031
676,0.000009,0.999991
677,0.945228,0.054772
678,0.000003,0.999997
679,0.000001,0.999999
680,0.026455,0.973545
681,0.995696,0.004304
682,0.606521,0.393479
683,0.310855,0.689145
684,0.999982,0.000018
685,0.860673,0.139327
686,0.929591,0.070409
687,0.909478,0.090522
688,0.051894,0.948106
689,0.152649,0.847351
690,0.000000,1.000000
691,0.906913,0.093087
692,0.680695,0.319305
693,1.000000,0.000000
694,0.525878,0.474122
695,0.162991,0.837009
696,0.734395,0.265605
697,0.038111,0.961889
698,0.204519,0.795481
699,0.909833,0.090167
700,0.696792,0.303208
701,0.039562,0.960438
702,0.999896,0.000104
703,0.003445,0.996555
704,0.933277,0.066723
705,0.986293,0.013707
706,0.029686,0.970314
707,0.034992,0.965008
708,0.998984,0.001016
709,0.166058,0.833942
710,0.709586,0.290414
711,0.660415,0.339585
712,0.000001,0.999999
713,0.151277,0.848723
714,0.444998,0.555002
715,0.067318,0.932682
716,0.894346,0.105654
717,0.928890,0.071110
718,0.000000,1.000000
719,0.217748,0.782252
720,0.140227,0.859773
721,0.351820,0.648180
722,0.950547,0.049453
723,0.000001,0.999999
724,0.994919,0.005081
725,0.000000,1.000000
726,0.984872,0.015128
727,0.838400,0.161600
728,0.383006,0.616994
729,0.000000,1.000000
730,0.170499,0.829501
731,0.013286,0.986714
732,0.997440,0.002560
733,0.534882,0.465118
734,0.332747,0.667253
735,0.981155,0.018845
736,0.130214,0.869786
737,0.052909,0.947091
738,0.558375,0.441625
739,0.985634,0.014366
740,0.042983,0.957017
741,0.984091,0.015909
742,0.572175,0.427825
743,0.816638,0.183362
744,0.000000,1.000000
745,0.013182,0.986818
746,0.045390,0.954610
747,0.004232,0.995768
748,0.000000,1.000000
749,0.662105,0.337895
750,0.006134,0.993866
751,0.752148,0.247852
752,0.000004,0.999996
753,0.999994,0.000006
754,0.000002,0.999998
755,1.000000,0.000000
756,0.999956,0.000044
757,0.146519,0.853481
758,0.758929,0.241071
759,0.104126,0.895874
760,0.041162,0.958838
761,0.000000,1.000000
762,0.717027,0.282973
763,0.077139,0.922861
764,0.018748,0.981252
765,0.175596,0.824404
766,0.015270,0.984730
767,0.875950,0.124050
768,0.007608,0.992392
769,0.952510,0.047490
770,0.966922,0.033078
771,1.000000,0.000000
772,0.996445,0.003555
773,0.919930,0.080070
774,0.004388,0.995612
775,0.999913,0.000087
776,0.012557,0.987443
777,0.000002,0.999998
778,0.008640,0.991360
779,0.983192,0.016808
780,0.999903,0.000097
781,0.736401,0.263599
782,0.020057,0.979943
783,0.000000,1.000000
784,0.000017,0.999983
785,0.320127,0.679873
786,0.017009,0.982991
787,1.000000,0.000000
788,0.441526,0.558474
789,0.744642,0.255358
790,0.255043,0.744957
791,0.000000,1.000000
792,0.990559,0.009441
793,0.943817,0.056183
794,0.000000,1.000000
795,0.240469,0.759531
796,0.000011,0.999989
797,0.994871,0.005129
798,0.000017,0.999983
799,0.000011,0.999989
800,0.115255,0.884745
801,0.175844,0.824156
802,0.000000,1.000000
803,0.398763,0.601237
804,0.914190,0.085810
805,0.000002,0.999998
806,0.998398,0.001602
807,0.323728,0.676272
808,0.000004,0.999996
809,0.964081,0.035919
810,0.000001,0.999999
811,0.995672,0.004328
812,0.002580,0.997420
813,0.133938,0.866062
814,0.455610,0.544390
815,0.155736,0.844264
816,0.888237,0.111763
817,0.585194,0.414806
818,0.075556,0.924444
819,0.017009,0.982991
820,0.040481,0.959519
821,0.000003,0.999997
822,0.545399,0.454601
823,0.409898,0.590102
824,0.004949,0.995051
825,0.053384,0.946616
826,0.999882,0.000118
827,0.195919,0.804081
828,0.935672,0.064328
829,0.148890,0.851110
830,0.500000,0.500000
831,0.000002,0.999998
832,0.302871,0.697129
833,0.266586,0.733414
834,0.969008,0.030992
835,0.997248,0.002752
836,0.000000,1.000000
837,0.044115,0.955885
838,0.990916,0.009084
839,0.365025,0.634975
840,0.999991,0.000009
841,0.707853,0.292147
842,0.802983,0.197017
843,0.072357,0.927643
844,0.117127,0.882873
845,0.260362,0.739638
846,0.000000,1.000000
847,0.026320,0.973680
848,0.212387,0.787613
849,0.007214,0.992786
850,0.943399,0.056601
851,0.203852,0.796148
852,0.199564,0.800436
853,0.888814,0.111186
854,0.082631,0.917369
855,0.827785,0.172215
856,0.083549,0.916451
857,0.000007,0.999993
858,0.000000,1.000000
859,0.096914,0.903086
860,0.049898,0.950102
861,0.630769,0.369231
862,0.999733,0.000267
863,0.000000,1.000000
864,0.972701,0.027299
865,0.998772,0.001228
866,0.999905,0.000095
867,0.945870,0.054130
868,0.781074,0.218926
869,0.997769,0.002231
870,0.998542,0.001458
871,0.079556,0.920444
872,0.022967,0.977033
873,0.362053,0.637947
874,0.326576,0.673424
875,0.998699,0.001301
876,0.000000,1.000000
877,0.000000,1.000000
878,0.185976,0.814024
879,0.964239,0.035761
880,0.953320,0.046680
881,0.749714,0.250286
882,0.037045,0.962955
883,0.278270,0.721730
884,0.000012,0.999988
885,0.000014,0.999986
886,0.015639,0.984361
887,0.210416,0.789584
888,0.170551,0.829449
889,0.586927,0.413073
890,0.000000,1.000000
891,0.921390,0.078610
892,0.799622,0.200378
893,0.025758,0.974242
894,0.979897,0.020103
895,0.131014,0.868986
896,0.155550,0.844450
897,0.999369,0.000631
898,0.971865,0.028135
899,0.698077,0.301923
900,0.050382,0.949618
901,0.991060,0.008940
902,0.592587,0.407413
903,0.000004,0.999996
904,0.004520,0.995480
905,0.516437,0.483563
906,0.087215,0.912785
907,0.072225,0.927775
908,0.599128,0.400872
909,0.367108,0.632892
910,0.999999,0.000001
911,0.999998,0.000002
912,0.000000,1.000000
913,0.936981,0.063019
914,0.875974,0.124026
915,0.241660,0.758340
916,0.124061,0.875939
917,0.500000,0.500000
918,0.133576,0.866424
919,1.000000,0.000000
920,0.863860,0.136140
921,0.998553,0.001447
922,0.008215,0.991785
923,0.322654,0.677346
924,0.984706,0.015294
925,0.965683,0.034317
926,0.726223,0.273777
927,0.642751,0.357249
928,0.035403,0.964597
929,0.544765,0.455235
930,0.247670,0.752330
931,0.993653,0.006347
932,0.027204,0.972796
933,0.000005,0.999995
934,0.989988,0.010012
935,0.981617,0.018383
936,0.262759,0.737241
937,0.633881,0.366119
938,0.889577,0.110423
939,0.577388,0.422612
940,0.000002,0.999998
941,0.957300,0.042700
942,0.054144,0.945856
943,0.913772,0.086228
944,0.000000,1.000000
945,0.969101,0.030899
946,0.161619,0.838381
947,0.710565,0.289435
948,0.010415,0.989585
949,0.168923,0.831077
950,1.000000,0.000000
951,0.000000,1.000000
952,1.000000,0.000000
953,0.278705,0.721295
954,0.036602,0.963398
955,1.000000,0.000000
956,0.523857,0.476143
957,0.956728,0.043272
958,0.014679,0.985321
959,0.813802,0.186198
960,0.878800,0.121200
961,0.004533,0.995467
962,0.006255,0.993745
963,0.363240,0.636760
964,0.944601,0.055399
965,0.999994,0.000006
966,0.986734,0.013266
967,0.701552,0.298448
968,0.000000,1.000000
969,0.013568,0.986432
970,0.569491,0.430509
971,0.345931,0.654069
972,1.000000,0.000000
973,0.000015,0.999985
974,0.258679,0.741321
975,0.005539,0.994461
976,0.020091,0.979909
977,0.010448,0.989552
